qmof_id,name,analysis_bin,primary_metal,outputs.hse06.bandgap,zeo_pld,zeo_lcd,zeo_density,zeo_volume,zeo_natoms
qmof-462389a,KCLNLA01_FSR,bandgap_0.5_to_1.0eV,K,0.983114,1.01141,1.77495,1.779961966,1280.144159,92
qmof-230a690,WIHQEM_FSR,bandgap_0.5_to_1.0eV,Cu,0.637243,1.26027,2.89262,2.015472564,720.963791,52
qmof-c8cd84e,NOQBUS_FSR,bandgap_0.5_to_1.0eV,Co,0.685876,0.88026,2.36572,1.595534609,796.7752362,83
qmof-7311839,BISVUW_FSR,bandgap_0.5_to_1.0eV,Ag,0.702112,0.75996,1.82955,2.634073841,592.3901994,42
qmof-287a882,UHOCEB02_FSR,bandgap_0.5_to_1.0eV,Cu,0.852953,0.79158,1.98621,2.044614481,814.4295998,80
qmof-1b8f727,DEZZUE_FSR,bandgap_0.5_to_1.0eV,Cu,0.855535,1.49598,3.20738,1.945051854,371.6200334,32
qmof-1cfa94a,BADXEJ01_FSR,bandgap_0.5_to_1.0eV,Cu,0.56363,0.75169,1.43453,2.23720437,340.7684934,30
qmof-c6fb628,MICRAU_FSR,bandgap_0.5_to_1.0eV,Cu,0.89764,1.57273,3.82429,1.399495828,970.3787335,80
qmof-3d26180,SIPYUM_FSR,bandgap_0.5_to_1.0eV,Cu,0.989174,0.85259,2.54734,1.916886685,607.645544,60
qmof-926eb2f,PODNAY_FSR,bandgap_0.5_to_1.0eV,Cu,0.932052,1.40343,2.29808,1.633705865,607.3382606,58
qmof-e7b175c,FORWUF01_FSR,bandgap_0.5_to_1.0eV,Fe,0.705815,1.2445,2.2518,1.930766784,658.6768632,72
qmof-0fcda30,HACWIR02_FSR,bandgap_0.5_to_1.0eV,Mn,0.86776,0.8958,1.59648,2.026426092,637.7490637,62
qmof-545e186,MOJWUF_FSR,bandgap_0.5_to_1.0eV,Zn,0.510711,1.14142,1.69275,1.736025326,1166.712163,122
qmof-d928e40,NEKTEE_FSR,bandgap_0.5_to_1.0eV,Mn,0.714397,0.94038,1.97183,1.5311022,1243.880524,124
qmof-2b29f90,ELIMOC_FSR,bandgap_0.5_to_1.0eV,Mn,0.921217,0.93687,2.08527,1.675318733,435.4449572,49
qmof-12544e7,PITVOD_FSR,bandgap_0.5_to_1.0eV,Mn,0.54935,1.32498,5.28504,0.975222481,980.159978,83
qmof-4a4b090,CEMPAN_FSR,bandgap_0.5_to_1.0eV,Cu,0.535724,1.42313,2.35719,2.352863549,1198.398056,106
qmof-a3a6bff,LAFRUG_FSR,bandgap_0.5_to_1.0eV,Cu,0.605963,0.90748,1.70726,2.105982889,913.6739912,92
qmof-3767e26,ETETON_FSR,bandgap_0.5_to_1.0eV,K,0.968151,0.89158,2.0024,2.561741091,1350.491617,92
qmof-d42c622,SOQVOK_FSR,bandgap_1.0_to_1.5eV,Mn,1.282428,1.77975,2.23029,1.774924692,467.1221471,49
qmof-3feeaa5,MIJKIA_FSR,bandgap_1.0_to_1.5eV,Mn,1.383046,0.97475,2.1891,1.754769041,706.3836098,70
qmof-5bf0c2a,QOCHAR_FSR,bandgap_1.0_to_1.5eV,Cd,1.386633,1.41252,2.47116,2.40084598,491.6359749,38
qmof-0aea5e3,JUSXUQ_FSR,bandgap_1.0_to_1.5eV,Mn,1.417895,1.06382,2.26888,1.525685116,362.6967083,39
qmof-6f98772,CUTCIF_FSR,bandgap_1.0_to_1.5eV,Mn,1.147687,1.01138,2.67316,1.564563132,610.6715266,55
qmof-2cdc589,GEHMOW_FSR,bandgap_1.0_to_1.5eV,Cu,1.355907,1.15013,1.84875,1.882380148,517.2151032,44
qmof-2b2d255,OXCFOR_FSR,bandgap_1.0_to_1.5eV,Co,1.13423,0.83657,2.6794,2.951446705,404.9167863,36
qmof-8b33bc9,DIDYUM_FSR,bandgap_1.0_to_1.5eV,Cu,1.473936,1.02381,2.79617,2.099899173,730.3003081,64
qmof-10ff507,HICQIW_FSR,bandgap_1.0_to_1.5eV,Mn,1.232662,1.20878,2.83717,1.466699837,1153.479433,114
qmof-663129a,RESGUU_FSR,bandgap_1.0_to_1.5eV,Li,1.250818,1.14308,2.73024,1.544179085,989.7443264,104
qmof-a471706,SIWHAI_FSR,bandgap_1.0_to_1.5eV,Cu,1.028926,1.18981,2.12311,1.773164541,471.4704442,52
qmof-37e26c7,PATHOI_FSR,bandgap_1.0_to_1.5eV,Cu,1.430009,1.06163,2.50076,1.951828295,844.4617321,80
qmof-bf12e76,HEWRIK_FSR,bandgap_1.0_to_1.5eV,Cu,1.195746,1.16657,1.73154,2.891781323,322.202394,26
qmof-f906424,GEBZAR_FSR,bandgap_1.0_to_1.5eV,Mn,1.484621,0.85192,2.38327,1.606665803,1042.524686,106
qmof-45d422a,EDAPAC_FSR,bandgap_1.0_to_1.5eV,Cu,1.30669,1.01734,2.25865,1.639924782,1396.599442,132
qmof-c4f3917,DEJGUV_FSR,bandgap_1.0_to_1.5eV,Cu,1.183005,0.86582,1.74905,1.969501602,936.8567124,88
qmof-d0d6fd2,BOKXIK_FSR,bandgap_1.0_to_1.5eV,Cu,1.097606,1.44523,3.31258,1.687918131,796.3077124,56
qmof-4d2d076,CISMOJ_FSR,bandgap_1.0_to_1.5eV,Cu,1.094519,1.10407,1.7399,1.804269,1169.8863,120
qmof-638b408,PENXIQ_FSR,bandgap_1.0_to_1.5eV,Cu,1.006513,0.90124,1.795,2.209437647,332.851887,25
qmof-ba8d316,INIROM_FSR,bandgap_1.0_to_1.5eV,Co,1.250046,0.82803,1.56322,1.746231048,683.1388273,70
qmof-49bc51b,APASAN_FSR,bandgap_1.0_to_1.5eV,Cu,1.064698,0.93973,1.7029,1.827640624,650.2825183,60
qmof-85bc3c6,PUPXII_FSR,bandgap_1.0_to_1.5eV,Mn,1.250871,2.62484,3.28515,1.72484683,585.5585022,52
qmof-932ec8e,QIPPIO_FSR,bandgap_1.0_to_1.5eV,Mn,1.233929,3.75146,4.75301,1.372991575,1436.065982,93
qmof-8bcdd4b,CERKAO_FSR,bandgap_1.0_to_1.5eV,Mn,1.476436,0.74467,1.73597,1.849009517,498.7099284,53
qmof-0d8afa2,MUQWOM_FSR,bandgap_1.0_to_1.5eV,Li,1.319236,1.22373,2.21787,1.608842564,1016.213032,104
qmof-48ff45a,FATLUJ_FSR,bandgap_1.0_to_1.5eV,Cu,1.408519,3.8538,5.02711,1.246908706,1916.686148,142
qmof-1f8e39f,QAFFAF_FSR,bandgap_1.0_to_1.5eV,Mn,1.43868,0.77751,2.39787,1.750320819,730.9400633,78
qmof-a3e45d0,NAJSUM02_FSR,bandgap_1.0_to_1.5eV,Mn,1.312513,1.04073,2.66042,1.843656071,392.8002337,32
qmof-45a6307,WEZNUM_FSR,bandgap_1.0_to_1.5eV,Zn,1.1941,2.24403,2.94191,2.432783934,658.5077973,58
qmof-cafe9dc,GASJES_FSR,bandgap_1.0_to_1.5eV,Cs,1.021865,1.12473,1.76977,1.92642182,775.8350812,62
qmof-c776af3,CAXCAG_FSR,bandgap_1.0_to_1.5eV,Cu,1.050854,1.14013,1.82554,2.014232719,684.7537031,68
qmof-361fd6f,BANHAA_FSR,bandgap_1.0_to_1.5eV,Zn,1.05983,1.23818,2.82061,1.432210501,1358.711694,122
qmof-c8756ec,ODIJES_FSR,bandgap_1.0_to_1.5eV,Mo,1.225668,1.00318,2.04708,1.898678894,533.7338862,54
qmof-16d3687,CUFCEN_FSR,bandgap_1.0_to_1.5eV,Mn,1.112264,2.20072,2.88726,1.864763896,481.0352905,50
qmof-9545770,AFOLIR_FSR,bandgap_1.0_to_1.5eV,Mn,1.237404,1.02591,1.83221,1.661049816,789.4491861,85
qmof-c30e806,HUTWUQ_FSR,bandgap_1.0_to_1.5eV,Mn,1.057093,1.577,2.79818,1.431108029,1240.158261,112
qmof-4fac276,DOJKEU_FSR,bandgap_1.0_to_1.5eV,Mo,1.230046,1.20755,2.07438,1.647364786,865.4208212,82
qmof-b5bdb39,DUMHEZ01_FSR,bandgap_1.0_to_1.5eV,Cu,1.414253,0.97213,1.51566,1.826344344,650.7440678,60
qmof-7192ec8,PIRNAH01_FSR,bandgap_1.0_to_1.5eV,Cs,1.051314,1.04866,1.73113,2.245156928,1171.363155,84
qmof-e59232d,LIYLOU_FSR,bandgap_1.0_to_1.5eV,Mn,1.483571,0.81729,1.38397,1.965386011,476.5663856,46
qmof-d1fec5e,PAQJOG_FSR,bandgap_1.0_to_1.5eV,Mn,1.325158,0.92404,1.67467,1.687591221,813.2515756,82
qmof-cea3393,JEWCIY_FSR,bandgap_1.0_to_1.5eV,Cu,1.023634,1.0875,2.17472,1.801298263,1002.333026,84
qmof-244cb4f,RAMGIX_FSR,bandgap_1.0_to_1.5eV,Zn,1.342986,1.11705,2.02025,1.842519388,1506.681212,116
qmof-7668bea,FABJID_FSR,bandgap_1.0_to_1.5eV,Cu,1.469237,1.65184,2.26092,1.920422318,593.5154894,56
qmof-81dfe71,KALNOA_FSR,bandgap_1.0_to_1.5eV,Cu,1.413766,0.85825,1.93393,2.268460517,1094.083137,100
qmof-0f656a9,IRIGIB_FSR,bandgap_1.0_to_1.5eV,Cu,1.259416,0.8156,1.74662,1.999007414,913.1132733,92
qmof-193431e,YEQQER_FSR,bandgap_1.0_to_1.5eV,Cu,1.247381,1.20882,2.39466,2.761796879,1062.63015,84
qmof-d46ee4f,DAZXOU_FSR,bandgap_1.0_to_1.5eV,Cu,1.327261,0.92985,1.69866,2.182482721,675.9635192,64
qmof-3bba393,LOJPIL_FSR,bandgap_1.0_to_1.5eV,Mo,1.005275,0.75515,1.79558,2.857637663,742.0024538,69
qmof-3600621,CAKTEP_FSR,bandgap_1.0_to_1.5eV,Zn,1.044363,1.13747,2.23746,1.933706433,681.3095015,68
qmof-21a886a,TIZCIR_FSR,bandgap_1.5_to_2.0eV,Cu,1.970179,5.15493,6.35017,1.636847374,784.681399,44
qmof-f1ec197,UNEQOU_FSR,bandgap_1.5_to_2.0eV,Mn,1.995472,0.83397,2.01808,1.616432683,693.9520007,71
qmof-d55dcc4,HORWEQ_FSR,bandgap_1.5_to_2.0eV,Cu,1.961636,1.07854,2.71609,3.325356333,1102.507814,78
qmof-ec24300,GIQYAH_FSR,bandgap_1.5_to_2.0eV,Ru,1.953023,2.6645,3.99553,2.136055822,1366.884849,102
qmof-0be87d2,IXITIS_FSR,bandgap_1.5_to_2.0eV,Cu,1.884732,1.27991,2.20198,2.944366169,595.642162,48
qmof-61d14dd,EDEDID_FSR,bandgap_1.5_to_2.0eV,Cu,1.806497,0.74982,1.90822,2.437085091,1598.040431,136
qmof-2f8d683,BOYWES_FSR,bandgap_1.5_to_2.0eV,Mn,1.801912,0.86363,2.72951,2.387553789,1669.889796,124
qmof-93da51e,NIGNUP_FSR,bandgap_1.5_to_2.0eV,Er,1.944343,2.89058,5.81319,1.717662075,2369.808176,148
qmof-bf18e45,IVAQEC_FSR,bandgap_1.5_to_2.0eV,Cu,1.617147,2.2809,3.14041,2.008782496,1062.137193,74
qmof-da61c3d,DIDYOG_FSR,bandgap_1.5_to_2.0eV,Cu,1.867431,1.1357,1.96363,2.117771906,722.6913531,64
qmof-99ad091,XAKCOB_FSR,bandgap_1.5_to_2.0eV,Ag,1.669303,1.0366,1.95992,1.909568629,1214.276793,100
qmof-df9cac4,XEBMUM_FSR,bandgap_1.5_to_2.0eV,Cu,1.823372,1.01644,1.79423,3.484046013,905.592818,68
qmof-d33d1b0,DACQEG_FSR,bandgap_1.5_to_2.0eV,Cu,1.685054,1.28397,2.15943,2.686589353,1059.806836,89
qmof-0b4817e,NIDRAW_FSR,bandgap_1.5_to_2.0eV,Cu,1.943339,1.00047,1.80728,2.336787966,610.9152128,56
qmof-828f8b4,LELMOG_FSR,bandgap_1.5_to_2.0eV,Cd,1.965848,1.61781,2.8741,1.902830882,860.1127785,76
qmof-6b5adb3,LICXEB_FSR,bandgap_1.5_to_2.0eV,Ni,1.637611,1.12893,2.00737,1.999197805,1111.386759,86
qmof-8208646,BEQDAF_FSR,bandgap_1.5_to_2.0eV,Cu,1.925306,1.18269,2.29144,2.23132361,815.7242154,71
qmof-1de625c,NECDUV_FSR,bandgap_1.5_to_2.0eV,Mo,1.912527,2.06501,4.96997,1.613946468,1996.870751,140
qmof-623366c,DAMXAT_FSR,bandgap_1.5_to_2.0eV,Cu,1.650538,2.04093,2.28115,3.192349632,531.6550938,40
qmof-b874271,HOFZAD_FSR,bandgap_1.5_to_2.0eV,Au,1.91297,1.05642,2.35607,1.945878379,1567.278642,148
qmof-44525cd,DEWLOJ_FSR,bandgap_1.5_to_2.0eV,Ag,1.807915,0.88235,1.76334,2.156479382,833.9048348,68
qmof-8782178,CUKZOY_FSR,bandgap_1.5_to_2.0eV,V,1.981502,1.09819,1.90296,2.070853578,1565.211982,146
qmof-686888c,LIGGOA_FSR,bandgap_1.5_to_2.0eV,Cu,1.855619,0.97186,2.27176,2.342817696,1062.103639,88
qmof-f77560d,NIGJES_FSR,bandgap_1.5_to_2.0eV,Cu,1.84028,0.85874,1.74586,1.996199298,878.1413151,86
qmof-579321e,NOPQIU_FSR,bandgap_1.5_to_2.0eV,Cu,1.82433,0.8272,1.84096,1.92941625,622.6529438,56
qmof-268888c,LONVIV_FSR,bandgap_1.5_to_2.0eV,Mn,1.715672,6.06692,8.75596,1.335634205,1398.416068,72
qmof-27bbb6a,LETDIY_FSR,bandgap_1.5_to_2.0eV,Cu,1.588509,0.9559,1.55673,3.744320491,314.8344795,22
qmof-90c2d5e,HAXNEB_FSR,bandgap_1.5_to_2.0eV,Cu,1.981401,1.42655,2.25063,1.840881688,715.4814712,73
qmof-3f56361,QIBZAD_FSR,bandgap_1.5_to_2.0eV,Mn,1.570105,1.26904,2.23569,1.682574451,1104.731956,94
qmof-094542b,MUQWUS_FSR,bandgap_1.5_to_2.0eV,Li,1.980379,1.11794,1.69591,1.623832897,1199.13656,120
qmof-64ce5e9,CAQXAT01_FSR,bandgap_1.5_to_2.0eV,Cu,1.961823,1.18955,1.71191,2.871892277,312.8527039,24
qmof-d6cf7a2,BIGWIY_FSR,bandgap_1.5_to_2.0eV,Cr,1.570286,1.25522,3.09461,1.611640693,958.7753858,82
qmof-497c336,NUHQEN_FSR,bandgap_1.5_to_2.0eV,Cu,1.831205,3.74807,5.411,1.61899834,1467.600866,104
qmof-6884d48,JOCNUN_FSR,bandgap_1.5_to_2.0eV,Mn,1.85867,1.10526,1.83941,1.668510061,1039.668785,104
qmof-2aec50f,KIHVAB_FSR,bandgap_1.5_to_2.0eV,Mn,1.741101,1.04796,2.37168,1.729121364,908.8500403,96
qmof-aea2084,CEZBEQ_FSR,bandgap_1.5_to_2.0eV,Cu,1.814206,0.9814,1.74254,2.470255667,471.3559451,40
qmof-01f1640,OLOFIF_FSR,bandgap_1.5_to_2.0eV,Co,1.942124,1.6736,2.92846,1.64776998,719.9094949,66
qmof-391b168,SOWHES_FSR,bandgap_1.5_to_2.0eV,Cu,1.958652,1.25929,2.12935,2.063900163,746.2207412,68
qmof-d4d3c5f,GIWVEO_FSR,bandgap_1.5_to_2.0eV,Cs,1.554025,1.05182,2.2978,2.0772462,681.3426397,46
qmof-6104fb7,GAXNEA_FSR,bandgap_1.5_to_2.0eV,Fe,1.992976,1.39318,2.49715,2.126099963,573.1772014,57
qmof-e5a036c,HAWTOQ_FSR,bandgap_1.5_to_2.0eV,Cu,1.943191,0.84972,1.99361,2.935469152,684.7080193,52
qmof-6092a23,HUJJEB_FSR,bandgap_1.5_to_2.0eV,Cu,1.526313,1.02157,1.57505,2.299650903,569.9794623,52
qmof-15fac80,LEHNEU_FSR,bandgap_1.5_to_2.0eV,Cu,1.884145,0.72409,1.32901,2.151094375,720.2149229,68
qmof-2f9cf3e,GICZOI_FSR,bandgap_1.5_to_2.0eV,K,1.877319,0.81103,1.99028,1.608236669,671.8025667,60
qmof-4a16101,CIZWIU_FSR,bandgap_1.5_to_2.0eV,Mn,1.821252,1.34766,2.45122,1.432680939,1556.641276,150
qmof-f5b47bc,KOFWOT_FSR,bandgap_1.5_to_2.0eV,Mn,1.726978,1.82237,3.21232,1.570119757,1196.807431,105
qmof-8637eeb,UDILUQ_FSR,bandgap_1.5_to_2.0eV,Mn,1.667598,1.50543,2.54829,1.53023074,979.5331749,94
qmof-beb45ec,DABXOW_FSR,bandgap_1.5_to_2.0eV,Zn,1.945809,3.41442,3.99902,1.483953941,1463.480858,122
qmof-ba7c077,IWIVIV02_FSR,bandgap_1.5_to_2.0eV,Cu,1.902795,1.32733,1.90726,2.462771062,476.2972322,40
qmof-d3530bc,MIHKUL_FSR,bandgap_1.5_to_2.0eV,Cu,1.948985,0.84034,1.96556,1.897320526,743.2273301,77
qmof-70f4cf7,OGUKAE_FSR,bandgap_2.0_to_2.5eV,Zn,2.430725,1.34102,2.65955,1.725718845,665.2898431,46
qmof-7337787,NEFJOA_FSR,bandgap_2.0_to_2.5eV,K,2.455459,0.31628,0.9731,1.957795784,498.2884573,36
qmof-dcbefe5,FABHEX_FSR,bandgap_2.0_to_2.5eV,Mn,2.330678,0.50557,1.5662,2.926135233,435.6621963,46
qmof-7a5b1ce,QULHAI_FSR,bandgap_2.0_to_2.5eV,Sm,2.403429,1.24834,5.44763,1.580539214,1743.946201,150
qmof-aabf74a,FEJXUO_FSR,bandgap_2.0_to_2.5eV,Mn,2.006778,0.84783,2.13377,1.730127558,302.4729404,31
qmof-d0dfc27,ORAPUT_FSR,bandgap_2.0_to_2.5eV,Ru,2.001076,1.54309,3.13362,2.03512123,848.0852362,69
qmof-7080970,FIWVAK_FSR,bandgap_2.0_to_2.5eV,Ru,2.085575,1.44657,1.9823,2.275964788,1460.13249,136
qmof-ec51380,IQOZUJ_FSR,bandgap_2.0_to_2.5eV,Co,2.025014,2.48681,4.51949,1.323381915,963.9835557,64
qmof-0ca8b3d,GAKYAU_FSR,bandgap_2.0_to_2.5eV,Cu,2.439909,1.17909,2.37784,2.311294149,935.8092507,78
qmof-529911c,CAPQIU_FSR,bandgap_2.0_to_2.5eV,Cu,2.312914,1.08112,2.08434,2.635317808,1807.972989,136
qmof-fb59727,LACFEC_FSR,bandgap_2.0_to_2.5eV,Cu,2.271309,1.19978,2.32156,2.255339712,842.5843449,80
qmof-8ca501e,MIWNIR_FSR,bandgap_2.0_to_2.5eV,Pr,2.378445,1.60462,3.63614,2.516676484,816.8315435,68
qmof-cbf7280,OGUHII_FSR,bandgap_2.0_to_2.5eV,Cu,2.284293,1.24494,4.00492,1.584242812,1054.268747,96
qmof-3ca5d72,NESDIY_FSR,bandgap_2.0_to_2.5eV,Ag,2.09565,0.83068,1.87601,2.496647239,1280.591718,92
qmof-c71dee9,FOFWII_FSR,bandgap_2.0_to_2.5eV,Fe,2.011825,1.22458,2.03329,1.704560856,1105.089597,108
qmof-fe96a80,LOHKOK_FSR,bandgap_2.0_to_2.5eV,Na,2.479528,1.25305,2.16249,1.700454402,777.8695385,80
qmof-ed94e56,HIHFAH_FSR,bandgap_2.0_to_2.5eV,Ni,2.41883,1.26025,2.58836,1.501284956,1104.291114,110
qmof-82f6d0d,FEKDAA_FSR,bandgap_2.0_to_2.5eV,Ag,2.453631,1.18662,2.60506,1.949320273,616.5147552,47
qmof-e6e27de,EBOSOG_FSR,bandgap_2.0_to_2.5eV,Mn,2.015094,0.89495,1.88489,1.847217216,463.2694378,51
qmof-9fa0d98,QOGTIQ_FSR,bandgap_2.0_to_2.5eV,Cu,2.451271,1.11655,1.98226,1.811535811,820.1383228,68
qmof-66dc50d,MIJLEX_FSR,bandgap_2.0_to_2.5eV,Cu,2.449548,0.94962,2.08272,2.11831687,657.4705288,66
qmof-07388f0,LAJPEU_FSR,bandgap_2.0_to_2.5eV,Mo,2.415716,1.17155,3.51347,2.601307861,1618.632645,139
qmof-a8c7976,LODPUR_FSR,bandgap_2.0_to_2.5eV,Zn,2.20999,1.75158,2.69296,1.556495592,985.3600369,94
qmof-e25f656,XIVTAZ_FSR,bandgap_2.0_to_2.5eV,Cu,2.109035,2.57218,4.09691,2.145905698,1103.098272,82
qmof-43f07bb,GASTUP_FSR,bandgap_2.0_to_2.5eV,K,2.156029,0.89722,1.57126,1.793485341,757.9284807,62
qmof-167de99,HICRUG_FSR,bandgap_2.0_to_2.5eV,Cu,2.457179,1.18525,2.09773,1.771510032,569.3957808,46
qmof-5583708,XAQWAO_FSR,bandgap_2.0_to_2.5eV,Mn,2.229398,0.85701,2.33622,1.495987196,714.4007952,77
qmof-b1e4752,GEZVEO_FSR,bandgap_2.0_to_2.5eV,Ag,2.39366,0.93334,2.75422,2.027900193,1493.907937,140
qmof-2d84c77,HAYYUE_FSR,bandgap_2.0_to_2.5eV,Fe,2.301192,9.67291,10.65125,1.160930986,1462.031854,54
qmof-940a088,WOXQUX_FSR,bandgap_2.0_to_2.5eV,Cd,2.48176,0.96465,2.48568,2.156568631,749.3352131,64
qmof-a1f2118,DIDKEJ_FSR,bandgap_2.0_to_2.5eV,Ag,2.366788,1.26032,2.20869,2.205970451,788.9886525,76
qmof-abf9b57,OMUYUR_FSR,bandgap_2.0_to_2.5eV,Cu,2.443738,3.3953,5.89466,1.496107726,1638.478344,128
qmof-f85239d,FOKHIW_FSR,bandgap_2.0_to_2.5eV,K,2.085933,0.93683,2.26162,1.635570805,1150.31099,122
qmof-caff655,VIRJOW_FSR,bandgap_2.0_to_2.5eV,Zn,2.195974,3.08168,4.48474,1.320939438,1106.173169,82
qmof-0b83e38,GEBQUB01_FSR,bandgap_2.0_to_2.5eV,Li,2.253871,1.07714,1.89599,1.514366889,1245.969967,136
qmof-d441feb,JEHPAO_FSR,bandgap_2.0_to_2.5eV,K,2.357641,1.13065,2.21128,1.638926437,1484.957277,136
qmof-99503b5,ECAZUG_FSR,bandgap_2.0_to_2.5eV,Cu,2.441859,0.96463,1.67972,2.127484539,944.8566704,92
qmof-4d8929f,SAQSOT_FSR,bandgap_2.0_to_2.5eV,Cu,2.197175,1.11818,1.74097,2.272098686,617.2726225,52
qmof-2290d6d,TIVWUR_FSR,bandgap_2.0_to_2.5eV,Li,2.397141,0.83253,1.46543,1.74780427,357.2083477,40
qmof-6c1d234,PIHNIF_FSR,bandgap_2.0_to_2.5eV,Ni,2.412681,1.02262,2.80799,1.922074894,970.543084,92
