qmof_id,name,analysis_bin,val_fold,primary_metal,linker_scaffold
qmof-0c21f93,WOFYIB_FSR,bandgap_0.5_to_1.0eV,4,Co,
qmof-4a4b090,CEMPAN_FSR,bandgap_0.5_to_1.0eV,3,Cu,c1ccccc1.c1cnc(-c2ncccn2)nc1
qmof-ff9ebb7,WEFDIU_FSR,bandgap_0.5_to_1.0eV,1,Cu,
qmof-2b29f90,ELIMOC_FSR,bandgap_0.5_to_1.0eV,5,Mn,c1cc(-c2ccncc2)ccn1.c1ccccc1
qmof-d928e40,NEKTEE_FSR,bandgap_0.5_to_1.0eV,3,Mn,c1cc([N][N]c2ccncc2)ccn1.c1ccccc1
qmof-1f7d79e,CENLEP_FSR,bandgap_0.5_to_1.0eV,3,Cu,C1=N[N]C=N[N]1
qmof-9b0ccbd,BETGUF_FSR,bandgap_0.5_to_1.0eV,2,Cu,
qmof-c9f9a46,PASQUX_FSR,bandgap_0.5_to_1.0eV,3,Cu,C1=CN=C(c2ccccc2)[N]1
qmof-e7b175c,FORWUF01_FSR,bandgap_0.5_to_1.0eV,3,Fe,C1CCCCC1
qmof-c937650,OSUWIJ_FSR,bandgap_0.5_to_1.0eV,4,Ag,c1ccc2ccccc2c1
qmof-12544e7,PITVOD_FSR,bandgap_0.5_to_1.0eV,2,Mn,c1cnccn1
qmof-7311839,BISVUW_FSR,bandgap_0.5_to_1.0eV,4,Ag,c1ccccc1
qmof-f8c7a01,DIHHOS_FSR,bandgap_0.5_to_1.0eV,5,Cu,
qmof-a3a6bff,LAFRUG_FSR,bandgap_0.5_to_1.0eV,2,Cu,
qmof-0fcda30,HACWIR02_FSR,bandgap_0.5_to_1.0eV,1,Mn,[CH]1C=NC=CN1
qmof-1b8f727,DEZZUE_FSR,bandgap_0.5_to_1.0eV,1,Cu,c1cnccn1
qmof-462389a,KCLNLA01_FSR,bandgap_0.5_to_1.0eV,2,K,O=C1C=CC(=O)C=C1
qmof-c054f0b,YAKLIF_FSR,bandgap_0.5_to_1.0eV,1,Cu,C1SCSCS1
qmof-79768f1,ETEVOP_FSR,bandgap_0.5_to_1.0eV,4,Rb,O=C1C=CC(=O)C=C1
qmof-c6fb628,MICRAU_FSR,bandgap_0.5_to_1.0eV,2,Cu,c1ccc(Sc2ccccc2)cc1
qmof-c8cd84e,NOQBUS_FSR,bandgap_0.5_to_1.0eV,4,Co,c1cc(-c2cc[nH+]cc2)cc[nH+]1
qmof-3767e26,ETETON_FSR,bandgap_0.5_to_1.0eV,1,K,O=C1C=CC(=O)C=C1
qmof-3d26180,SIPYUM_FSR,bandgap_0.5_to_1.0eV,2,Cu,c1ccccc1
qmof-043bf63,JETLEC_FSR,bandgap_0.5_to_1.0eV,2,Cu,C(#Cc1c2ccccc2c(C#Cc2ccncc2)c2ccccc12)c1ccncc1
qmof-287a882,UHOCEB02_FSR,bandgap_0.5_to_1.0eV,4,Cu,C1=CC(c2ccccn2)=N[N]1.C1=N[N]C(c2ccccn2)=C1.[CH]1C=NN=C1c1ccccn1
qmof-2bd5eb8,COQTAE_FSR,bandgap_0.5_to_1.0eV,1,K,C1CCOC1
qmof-926eb2f,PODNAY_FSR,bandgap_0.5_to_1.0eV,5,Cu,c1cc(-c2ccc(-c3ccnnc3)cc2)cnn1
qmof-5961f99,REGMEX_FSR,bandgap_0.5_to_1.0eV,3,Cu,
qmof-1cfa94a,BADXEJ01_FSR,bandgap_0.5_to_1.0eV,5,Cu,c1cncnc1
qmof-6071ce7,IBUBIS01_FSR,bandgap_0.5_to_1.0eV,3,Organic_Only,
qmof-9308b8e,GOVJAC_FSR,bandgap_0.5_to_1.0eV,1,Cu,
qmof-545e186,MOJWUF_FSR,bandgap_0.5_to_1.0eV,5,Zn,c1cc(CCc2ccncc2)ccn1.c1ccc(Oc2ccccc2)cc1
qmof-230a690,WIHQEM_FSR,bandgap_0.5_to_1.0eV,5,Cu,S=C1N=CC=NC1=S
qmof-9545770,AFOLIR_FSR,bandgap_1.0_to_1.5eV,4,Mn,c1cc(-c2ccncc2)ccn1
qmof-361fd6f,BANHAA_FSR,bandgap_1.0_to_1.5eV,5,Zn,C(=Cc1cccnc1)c1ccccc1
qmof-10ff507,HICQIW_FSR,bandgap_1.0_to_1.5eV,1,Mn,c1ccc(-n2ccnc2)cc1
qmof-49bc51b,APASAN_FSR,bandgap_1.0_to_1.5eV,3,Cu,c1cncc(C2=N[N]C(c3cccnc3)=N[N]2)c1
qmof-cea3393,JEWCIY_FSR,bandgap_1.0_to_1.5eV,3,Cu,c1cnccn1
qmof-6f98772,CUTCIF_FSR,bandgap_1.0_to_1.5eV,2,Mn,c1ccccc1
qmof-0d8afa2,MUQWOM_FSR,bandgap_1.0_to_1.5eV,2,Li,O=C1c2ccccc2C(=O)c2ccccc21
qmof-7668bea,FABJID_FSR,bandgap_1.0_to_1.5eV,3,Cu,
qmof-48ff45a,FATLUJ_FSR,bandgap_1.0_to_1.5eV,1,Cu,c1cc(CCCc2ccncc2)ccn1.c1ccccc1
qmof-3feeaa5,MIJKIA_FSR,bandgap_1.0_to_1.5eV,4,Mn,
qmof-193431e,YEQQER_FSR,bandgap_1.0_to_1.5eV,5,Cu,
qmof-ba8d316,INIROM_FSR,bandgap_1.0_to_1.5eV,1,Co,c1ccccc1
qmof-7af20fe,SITGAG_FSR,bandgap_1.0_to_1.5eV,2,Cu,
qmof-a3e45d0,NAJSUM02_FSR,bandgap_1.0_to_1.5eV,2,Mn,c1cnc(-c2ncccn2)nc1
qmof-3546d7f,MAXWUE_FSR,bandgap_1.0_to_1.5eV,4,Cu,
qmof-dc9df4c,VORTON01_FSR,bandgap_1.0_to_1.5eV,3,Cu,
qmof-3bba393,LOJPIL_FSR,bandgap_1.0_to_1.5eV,3,Mo,
qmof-3110c7f,WUTNEG_FSR,bandgap_1.0_to_1.5eV,3,Cu,
qmof-16d3687,CUFCEN_FSR,bandgap_1.0_to_1.5eV,4,Mn,c1ccccc1
qmof-244cb4f,RAMGIX_FSR,bandgap_1.0_to_1.5eV,3,Zn,c1cc(-c2ccncc2)ccn1
qmof-c8756ec,ODIJES_FSR,bandgap_1.0_to_1.5eV,4,Mo,C(=Cc1ccncc1)c1ccncc1
qmof-a79b912,EFIWAT_FSR,bandgap_1.0_to_1.5eV,3,W,
qmof-0f656a9,IRIGIB_FSR,bandgap_1.0_to_1.5eV,1,Cu,
qmof-45d422a,EDAPAC_FSR,bandgap_1.0_to_1.5eV,5,Cu,
qmof-e59232d,LIYLOU_FSR,bandgap_1.0_to_1.5eV,3,Mn,c1cc(-c2ccncc2)ccn1
qmof-1510275,OGUVES_FSR,bandgap_1.0_to_1.5eV,2,Mo,
qmof-d1fec5e,PAQJOG_FSR,bandgap_1.0_to_1.5eV,2,Mn,
qmof-37e26c7,PATHOI_FSR,bandgap_1.0_to_1.5eV,1,Cu,c1ccc(C2=N[N]C(c3ccccn3)N=N2)nc1.c1ccc(C2=N[N]C(c3ccccn3)[N][N]2)nc1
qmof-2b2d255,OXCFOR_FSR,bandgap_1.0_to_1.5eV,1,Co,
qmof-b5bdb39,DUMHEZ01_FSR,bandgap_1.0_to_1.5eV,2,Cu,c1cc(C2=N[N]C(c3ccncc3)=N[N]2)ccn1
qmof-4d2d076,CISMOJ_FSR,bandgap_1.0_to_1.5eV,1,Cu,O=C([N]N=Cc1ccccc1)c1ccccc1
qmof-62820e8,LAZCEV_FSR,bandgap_1.0_to_1.5eV,4,Cu,
qmof-638b408,PENXIQ_FSR,bandgap_1.0_to_1.5eV,2,Cu,c1cnc2c(n1)SC(=C1Sc3nccnc3S1)S2
qmof-4fac276,DOJKEU_FSR,bandgap_1.0_to_1.5eV,5,Mo,C(=Cc1ccncc1)c1ccncc1.c1ccccc1
qmof-4e8ed50,KOFVUY_FSR,bandgap_1.0_to_1.5eV,2,Cd,
qmof-cafe9dc,GASJES_FSR,bandgap_1.0_to_1.5eV,3,Cs,O=C1C=CC(=O)C=C1
qmof-d972c84,DINQOG_FSR,bandgap_1.0_to_1.5eV,1,Cu,
qmof-f906424,GEBZAR_FSR,bandgap_1.0_to_1.5eV,4,Mn,c1ccc(Oc2cccnc2)cc1
qmof-5bf0c2a,QOCHAR_FSR,bandgap_1.0_to_1.5eV,4,Cd,O=C1[CH]C(=O)C(=O)[CH]C1=O
qmof-81dfe71,KALNOA_FSR,bandgap_1.0_to_1.5eV,5,Cu,
qmof-0aea5e3,JUSXUQ_FSR,bandgap_1.0_to_1.5eV,2,Mn,c1cnccn1
qmof-932ec8e,QIPPIO_FSR,bandgap_1.0_to_1.5eV,3,Mn,
qmof-663129a,RESGUU_FSR,bandgap_1.0_to_1.5eV,3,Li,c1ccc2c(c1)C1c3ccccc3C2c2ccccc21
qmof-2cdc589,GEHMOW_FSR,bandgap_1.0_to_1.5eV,1,Cu,[N]([N]c1nnn[nH]1)c1nnn[nH]1
qmof-8b33bc9,DIDYUM_FSR,bandgap_1.0_to_1.5eV,2,Cu,C(=Nc1ccccc1SCCSc1ccccc1N=Cc1ccccc1)c1ccccc1
qmof-7192ec8,PIRNAH01_FSR,bandgap_1.0_to_1.5eV,1,Cs,O=C1C=CC(=O)C=C1
qmof-d0d6fd2,BOKXIK_FSR,bandgap_1.0_to_1.5eV,5,Cu,O=S1(=O)[N]c2c(c3ncccc3c3cccnc23)[N]1
qmof-85bc3c6,PUPXII_FSR,bandgap_1.0_to_1.5eV,5,Mn,c1cc(-c2ncc[nH]2)ccn1
qmof-31797e0,DEYWAI01_FSR,bandgap_1.0_to_1.5eV,4,Cu,
qmof-d46ee4f,DAZXOU_FSR,bandgap_1.0_to_1.5eV,1,Cu,
qmof-1f8e39f,QAFFAF_FSR,bandgap_1.0_to_1.5eV,5,Mn,
qmof-c4f3917,DEJGUV_FSR,bandgap_1.0_to_1.5eV,4,Cu,
qmof-0122bb1,BAMSEN_FSR,bandgap_1.0_to_1.5eV,3,Ga,
qmof-45a6307,WEZNUM_FSR,bandgap_1.0_to_1.5eV,5,Zn,c1ccccc1
qmof-a457b47,BAHHUP01_FSR,bandgap_1.0_to_1.5eV,5,Cd,
qmof-c776af3,CAXCAG_FSR,bandgap_1.0_to_1.5eV,1,Cu,c1cnccn1
qmof-d42c622,SOQVOK_FSR,bandgap_1.0_to_1.5eV,2,Mn,[CH]1C=C(C2=N[N]N=N2)C=CN1
qmof-a471706,SIWHAI_FSR,bandgap_1.0_to_1.5eV,5,Cu,C1CCCCC1
qmof-bf12e76,HEWRIK_FSR,bandgap_1.0_to_1.5eV,2,Cu,c1ccc2nc3ccccc3nc2c1
qmof-8bcdd4b,CERKAO_FSR,bandgap_1.0_to_1.5eV,4,Mn,[CH]1N=C[N]N1c1ccccc1
qmof-3b1e56c,CEPGEJ_FSR,bandgap_1.0_to_1.5eV,5,Cu,
qmof-c30e806,HUTWUQ_FSR,bandgap_1.0_to_1.5eV,4,Mn,[CH]([N][N][CH]c1ccncc1)c1ccncc1.c1ccccc1
qmof-9062b93,CAVGIS_FSR,bandgap_1.0_to_1.5eV,4,Ni,
qmof-3600621,CAKTEP_FSR,bandgap_1.0_to_1.5eV,1,Zn,
qmof-64ce5e9,CAQXAT01_FSR,bandgap_1.5_to_2.0eV,5,Cu,c1ccnnc1
qmof-b874271,HOFZAD_FSR,bandgap_1.5_to_2.0eV,2,Au,O=c1[nH]cc(-c2c[nH]c(=O)[nH]c2=O)c(=O)[nH]1
qmof-acc8248,TACDOR_FSR,bandgap_1.5_to_2.0eV,2,Tl,
qmof-a3577c1,TEMSUB_FSR,bandgap_1.5_to_2.0eV,2,Cu,
qmof-534fef5,TEJXIQ_FSR,bandgap_1.5_to_2.0eV,4,Rb,C=c1c(=O)c(=C)c(=O)c1=O
qmof-2c0cdf7,AGUMUL_FSR,bandgap_1.5_to_2.0eV,4,Mo,[CH]1N=CN(Cc2cccnc2)N1.[CH]1N=CNN1Cc1cccnc1.[CH]1N=C[N]N1Cc1cccnc1
qmof-6949036,HIHNET_FSR,bandgap_1.5_to_2.0eV,2,Mn,
qmof-195ef6a,HIFZOM_FSR,bandgap_1.5_to_2.0eV,2,Cu,c1cc(-c2ccnnc2)cnn1
qmof-6cf875d,TEYLUG_FSR,bandgap_1.5_to_2.0eV,1,Co,c1cnccn1
qmof-fbc9303,CADZIT_FSR,bandgap_1.5_to_2.0eV,3,Zn,[CH]([N][N][CH]c1ccncc1)c1ccncc1.c1ccccc1
qmof-cd4e737,CEKSEQ01_FSR,bandgap_1.5_to_2.0eV,5,Mn,c1ccncc1
qmof-56f3712,HIFZIG_FSR,bandgap_1.5_to_2.0eV,1,Cu,c1cc(-c2ccnnc2)cnn1
qmof-391b168,SOWHES_FSR,bandgap_1.5_to_2.0eV,1,Cu,c1ccc(-c2ccc3nnc(-c4cccnc4)n3n2)cc1
qmof-6fbdeae,SUXSUA_FSR,bandgap_1.5_to_2.0eV,1,Cu,C(=Cc1ccncc1)c1ccncc1
qmof-fd5ecfb,SUYDOF01_FSR,bandgap_1.5_to_2.0eV,2,Cu,c1ccc2nccnc2c1
qmof-1fd65b5,BAHNUW_FSR,bandgap_1.5_to_2.0eV,5,Ag,[CH]([N]N=Cc1ccncc1)c1ccncc1
qmof-8a54112,FANZEA_FSR,bandgap_1.5_to_2.0eV,4,Cu,O=C1C(=O)C(=O)C(=O)C1=O.c1cnccn1
qmof-d7660a3,MOFPUU_FSR,bandgap_1.5_to_2.0eV,2,Tb,O=C(Nc1ccccc1)c1ccncc1
qmof-082c84f,MOHFIA_FSR,bandgap_1.5_to_2.0eV,3,Mo,
qmof-68010e6,MOLVOZ01_FSR,bandgap_1.5_to_2.0eV,4,Cu,
qmof-2f9cf3e,GICZOI_FSR,bandgap_1.5_to_2.0eV,5,K,c1ccc([N][N][N]c2ccccc2)cc1
qmof-5f6120f,KEXFOJ_FSR,bandgap_1.5_to_2.0eV,5,Ag,
qmof-d4d3c5f,GIWVEO_FSR,bandgap_1.5_to_2.0eV,3,Cs,C=c1c(=O)c(=C)c(=O)c1=O
qmof-ec24300,GIQYAH_FSR,bandgap_1.5_to_2.0eV,4,Ru,
qmof-308fadd,GIQYUB_FSR,bandgap_1.5_to_2.0eV,3,Ru,
qmof-15d1d11,GIRFAQ_FSR,bandgap_1.5_to_2.0eV,1,Cu,
qmof-7351afb,UFUTAQ_FSR,bandgap_1.5_to_2.0eV,5,Cu,
qmof-04aceb4,UGENUP_FSR,bandgap_1.5_to_2.0eV,1,Cu,
qmof-222bdec,UGEPAX_FSR,bandgap_1.5_to_2.0eV,3,Cu,
qmof-b01b0cf,KAKTIA01_FSR,bandgap_1.5_to_2.0eV,4,Cu,c1ccncc1
qmof-4541d4f,KALMIT_FSR,bandgap_1.5_to_2.0eV,3,Cu,
qmof-7de6775,KAPSIF_FSR,bandgap_1.5_to_2.0eV,2,Ag,
qmof-a820aa0,GIQXUA_FSR,bandgap_1.5_to_2.0eV,1,Ru,
qmof-4a16101,CIZWIU_FSR,bandgap_1.5_to_2.0eV,2,Mn,C(=Cc1ccncc1)c1ccncc1.O=[PH](c1ccccc1)c1ccccc1
qmof-a47217e,GUVBOP_FSR,bandgap_1.5_to_2.0eV,3,V,
qmof-97f5963,XUXZOF01_FSR,bandgap_1.5_to_2.0eV,2,Cu,
qmof-14906a2,GUKNAC01_FSR,bandgap_1.5_to_2.0eV,3,Mn,
qmof-8782178,CUKZOY_FSR,bandgap_1.5_to_2.0eV,5,V,c1cn(CCCCn2ccnc2)cn1
qmof-3fa29a2,RABBUS_FSR,bandgap_1.5_to_2.0eV,5,Cu,c1cnc(CSCc2cnccn2)cn1
qmof-8962914,XODZEX_FSR,bandgap_1.5_to_2.0eV,1,Cu,
qmof-54f7ee7,KAZQAG_FSR,bandgap_1.5_to_2.0eV,5,Co,
qmof-d3a4dfb,DIBGOM_FSR,bandgap_1.5_to_2.0eV,5,Fe,c1ccccc1
qmof-44525cd,DEWLOJ_FSR,bandgap_1.5_to_2.0eV,2,Ag,C1=C(c2ccncc2)SC(=C2SC3=C(SCCS3)S2)S1
qmof-cbd795c,DEXVEJ_FSR,bandgap_1.5_to_2.0eV,1,Co,c1cncc(-c2cc(-c3ccc(-c4cc(-c5cccnc5)nc(-c5cccnc5)c4)cc3)cc(-c3cccnc3)n2)c1
qmof-3cfd336,DEJGOP_FSR,bandgap_1.5_to_2.0eV,3,Cu,
qmof-c47521e,GICCUS_FSR,bandgap_1.5_to_2.0eV,2,Mn,c1ccccc1
qmof-8676659,AREWOL_FSR,bandgap_1.5_to_2.0eV,2,Ir,
qmof-da61c3d,DIDYOG_FSR,bandgap_1.5_to_2.0eV,1,Cu,C(=Nc1ccccc1SCc1ccc(CSc2ccccc2N=Cc2cccs2)cc1)c1cccs1
qmof-74b1a87,DIHFAD_FSR,bandgap_1.5_to_2.0eV,5,Mn,
qmof-f1ec197,UNEQOU_FSR,bandgap_1.5_to_2.0eV,2,Mn,
qmof-d04a2a3,KIQLAX_FSR,bandgap_1.5_to_2.0eV,1,Mo,c1cncnc1
qmof-2aec50f,KIHVAB_FSR,bandgap_1.5_to_2.0eV,4,Mn,c1cc[nH+]cc1
qmof-6219623,KIVZAR_FSR,bandgap_1.5_to_2.0eV,4,Cu,c1cnccn1
qmof-0be87d2,IXITIS_FSR,bandgap_1.5_to_2.0eV,5,Cu,C1Cc2nnc3c4c(nnc(c24)C1)CCC3
qmof-0abe557,RAPDER_FSR,bandgap_1.5_to_2.0eV,3,Fe,c1cnc(-c2ncccn2)nc1
qmof-41c3d42,COKNOH_FSR,bandgap_1.5_to_2.0eV,1,Fe,c1ccccc1
qmof-9544bd5,BUKHUM_FSR,bandgap_1.5_to_2.0eV,4,Cu,c1ccccc1.c1cnccn1
qmof-00da3cc,RETXIY_FSR,bandgap_1.5_to_2.0eV,2,Cu,c1ccc(-c2cc(-c3cccnc3)cc(-c3ccccn3)n2)nc1
qmof-f6a044d,QETFEA_FSR,bandgap_1.5_to_2.0eV,3,Co,c1cnc(-c2ncccn2)nc1
qmof-7aa6be5,QEJZUB01_FSR,bandgap_1.5_to_2.0eV,5,Cu,c1nnc[nH]1
qmof-3f56361,QIBZAD_FSR,bandgap_1.5_to_2.0eV,1,Mn,
qmof-f0a4dcc,QIFVOT_FSR,bandgap_1.5_to_2.0eV,2,Cu,
qmof-fea9e70,BOQTEH_FSR,bandgap_1.5_to_2.0eV,1,Ag,c1ccc2nc3ccccc3nc2c1
qmof-e3bbf40,QIXYAY_FSR,bandgap_1.5_to_2.0eV,3,Cu,
qmof-623366c,DAMXAT_FSR,bandgap_1.5_to_2.0eV,4,Cu,[CH]1N=C[N]c2ccccc21
qmof-3f54b7d,DAMXEX_FSR,bandgap_1.5_to_2.0eV,5,Cu,
qmof-6fe7cc9,KALMOZ_FSR,bandgap_1.5_to_2.0eV,5,Cu,
qmof-1f7d6ac,KALNIU_FSR,bandgap_1.5_to_2.0eV,3,Cu,
qmof-2482286,GIWTEL01_FSR,bandgap_1.5_to_2.0eV,3,Mn,O=C1C(=O)C(=O)C1=O
qmof-65e8107,GOXSIV_FSR,bandgap_1.5_to_2.0eV,1,Mn,C(=Cc1ccncc1)c1ccncc1
qmof-f5b47bc,KOFWOT_FSR,bandgap_1.5_to_2.0eV,4,Mn,c1ccc2[nH]cnc2c1.c1ccc2[nH]cnc2c1
qmof-5e0e2eb,DINQUM_FSR,bandgap_1.5_to_2.0eV,3,Cu,c1cnccn1
qmof-a78e151,DINTID_FSR,bandgap_1.5_to_2.0eV,4,Cu,c1cnccn1
qmof-9e620c1,PIHJOH03_FSR,bandgap_1.5_to_2.0eV,4,Mn,c1ccc(-c2ccncc2)cc1
qmof-8137b0f,UQUYOW_FSR,bandgap_1.5_to_2.0eV,2,Cu,O=C1[CH]C(=O)C(=O)[CH]C1=O
qmof-d45d958,BIYWOY_FSR,bandgap_1.5_to_2.0eV,1,Cu,
qmof-6104fb7,GAXNEA_FSR,bandgap_1.5_to_2.0eV,5,Fe,O=C1[N]NC(=O)c2ccccc21
qmof-0331d6b,XENBUN_FSR,bandgap_1.5_to_2.0eV,3,Ru,c1ccc2nc3ccccc3nc2c1
qmof-cd498a4,GAJBEB_FSR,bandgap_1.5_to_2.0eV,2,Cu,
qmof-ed02e1b,DOHGAK_FSR,bandgap_1.5_to_2.0eV,1,Cd,[CH]1C=C(c2ccncc2)C=CN1CCN1[CH]C=C(c2ccncc2)C=C1
qmof-b56b577,GEQBAH_FSR,bandgap_1.5_to_2.0eV,4,Gd,O=C1[CH]C(=O)C(=O)[CH]C1=O
qmof-ca905a4,HAVSAB_FSR,bandgap_1.5_to_2.0eV,3,Cu,
qmof-0ec6421,ISADAH_FSR,bandgap_1.5_to_2.0eV,5,V,
qmof-bf18e45,IVAQEC_FSR,bandgap_1.5_to_2.0eV,5,Cu,[CH]1C=CN[C]2S[C]34S[C]5N=CC=C[N]5[Cu]3([N]12)[N]1C=CC=N[C]1S4
qmof-0514159,HADMIJ_FSR,bandgap_1.5_to_2.0eV,2,Cu,c1cc(-c2ccncc2)ccn1
qmof-ba7c077,IWIVIV02_FSR,bandgap_1.5_to_2.0eV,2,Cu,C1=NN=C[N]1
qmof-8ce3f11,DOCJEL_FSR,bandgap_1.5_to_2.0eV,4,Cs,O=C1C=C[NH+]C=C1
qmof-03f7272,BIWRUX_FSR,bandgap_1.5_to_2.0eV,1,Cu,C(#Cc1cc(C#Cc2ccncc2)cc(C#Cc2ccncc2)c1)c1ccncc1
qmof-70b42ce,BIWSAE_FSR,bandgap_1.5_to_2.0eV,4,Cu,
qmof-300be09,BIYLAY_FSR,bandgap_1.5_to_2.0eV,1,Cu,c1cnc(SSc2ncccn2)nc1
qmof-22c0271,BIYLEC_FSR,bandgap_1.5_to_2.0eV,3,Cu,c1cnc(SSc2ncccn2)nc1
qmof-dbb129d,GAGJIK_FSR,bandgap_1.5_to_2.0eV,5,Cu,
qmof-f46187c,LABJEF_FSR,bandgap_1.5_to_2.0eV,5,Cu,c1cc(-c2cc(-c3ccncc3)c(-c3ccncc3)cc2-c2ccncc2)ccn1
qmof-9806c75,LABJOP_FSR,bandgap_1.5_to_2.0eV,1,Cu,c1cc(-c2cc(-c3ccncc3)c(-c3ccncc3)cc2-c2ccncc2)ccn1
qmof-5d90805,XEHYEP_FSR,bandgap_1.5_to_2.0eV,2,V,c1cnccn1
qmof-9be438c,GABHUN_FSR,bandgap_1.5_to_2.0eV,5,Cu,c1cnccn1
qmof-9b8ff46,PARTEI_FSR,bandgap_1.5_to_2.0eV,3,Mn,c1ccccc1
qmof-566c8f2,BIPKUH_FSR,bandgap_1.5_to_2.0eV,1,Cu,
qmof-5f11e5e,BIRFIU_FSR,bandgap_1.5_to_2.0eV,3,Cu,c1cnc2c(n1)CCCC2
qmof-684e478,LASTAC_FSR,bandgap_1.5_to_2.0eV,5,Cu,c1ccc(-c2nnc(-c3ccccn3)o2)nc1
qmof-536a1f0,LAWLEC_FSR,bandgap_1.5_to_2.0eV,1,Zn,C1=CSCCS1.c1cc(-c2ccncc2)ccn1
