qmof_id,name,info.formula,primary_metal,metal_category,bandgap_mid,info.pld,info.lcd,info.density
qmof-b311e90,UTIHAH_FSR,Cu2C24Cl4H16N8,Cu,d_block_row4,0.25,1.02029,1.41777,1.818051293
qmof-93cbc2c,PEWFEE_FSR,CuUC10H2O10,Cu,d_block_row4,0.25,0.97408,2.09814,3.392561733
qmof-9f865ef,HAFQUC_FSR,Al4C60H44N4O20S8,Al,is_post_transition_metal,0.25,1.15918,2.06772,1.689063053
qmof-de9db8f,DODJUC_FSR,Hg2C40H44I4N6O4,Hg,d_block_row6,0.25,1.11343,2.55386,2.346633716
qmof-c8c6644,HAFQOW_FSR,Al4C56H36N4O20S8,Al,is_post_transition_metal,0.25,1.09181,1.98342,1.627484576
qmof-cb9b730,ISOQEM01_FSR,Cu2V2As2C20H16N4O12,Cu,d_block_row4,0.25,0.91417,2.30369,2.308505283
qmof-2dea218,SACPAQ_FSR,Hg12C28Cl26H26N20O8,Hg,d_block_row6,0.25,0.95927,3.01699,3.629179268
qmof-1b4e871,PAZXOD_FSR,Cr4Cu2C16H12N8O14,Cr,d_block_row4,0.25,0.904,2.64822,2.290282954
qmof-214ad37,KARSAY_FSR,Ag2ZnC28H32N10O4,Ag,d_block_row5,0.25,1.01079,2.04678,1.872393194
qmof-7e46631,KASRUS_FSR,Cu2C12Cl4H12N8,Cu,d_block_row4,0.25,0.89153,2.09186,2.056023357
qmof-0d0a55e,PODMUR_FSR,Cu2Br4C28H20N8,Cu,d_block_row4,0.25,0.85511,1.54124,2.235255239
qmof-c031960,DICVUI_FSR,CuC20H18I8O12,Cu,d_block_row4,0.25,1.69068,2.89675,2.781349678
qmof-d7b29f8,HUGLUS_FSR,Ga4C68F24H32O20,Ga,is_post_transition_metal,0.25,1.71813,3.79923,1.665516905
qmof-2d06267,MOYWAZ_FSR,Sr2C32H44N20O16,Sr,is_alkaline,0.25,1.26613,2.584,1.653797067
qmof-f94dd0a,YORKAS_FSR,Cu2C34H22N8O10S2,Cu,d_block_row4,0.25,1.15084,3.64268,1.651483863
qmof-aaa4160,XUGQUM_FSR,Ag2C16H16N8O16S4,Ag,d_block_row5,0.25,0.98715,1.63027,2.239917855
qmof-e79aee6,HISGEX_FSR,Rb2C28H16O12S2,Rb,is_alkali,0.25,0.693,1.7235,1.83920504
qmof-0c21f93,WOFYIB_FSR,Co4C40H28N8S4,Co,d_block_row4,0.75,0.99306,1.96146,1.821868146
qmof-4a4b090,CEMPAN_FSR,Cu2U2C36H30N4O28S4,Cu,d_block_row4,0.75,1.42313,2.35719,2.352863549
qmof-ff9ebb7,WEFDIU_FSR,Cu2C12Cl2H24N4O2,Cu,d_block_row4,0.75,0.98585,2.51684,1.736570109
qmof-2b29f90,ELIMOC_FSR,MnC20H20N2O6,Mn,d_block_row4,0.75,0.93687,2.08527,1.675318733
qmof-d928e40,NEKTEE_FSR,Mn2C58H44N12O8,Mn,d_block_row4,0.75,0.94038,1.97183,1.5311022
qmof-1f7d79e,CENLEP_FSR,Cu4Br4C4H4N8,Cu,d_block_row4,0.75,1.10078,2.10368,3.511351801
qmof-9b0ccbd,BETGUF_FSR,Cu2U2C34H22N4O18,Cu,d_block_row4,0.75,1.36328,2.70936,2.474031757
qmof-c9f9a46,PASQUX_FSR,Cu2C24H20N4O12,Cu,d_block_row4,0.75,1.07488,1.90806,1.910195642
qmof-e7b175c,FORWUF01_FSR,Fe4C24H30O14,Fe,d_block_row4,0.75,1.2445,2.2518,1.930766784
qmof-c937650,OSUWIJ_FSR,Ag4C48H24O16,Ag,d_block_row5,0.75,1.62488,2.30591,2.064849643
qmof-12544e7,PITVOD_FSR,MnC32H44N2O4,Mn,d_block_row4,0.75,1.32498,5.28504,0.975222481
qmof-7311839,BISVUW_FSR,Ag2Br4C24H4N8,Ag,d_block_row5,0.75,0.75996,1.82955,2.634073841
qmof-f8c7a01,DIHHOS_FSR,Cu3Br4C16H18N2O4,Cu,d_block_row4,0.75,0.95124,1.90234,2.450140041
qmof-a3a6bff,LAFRUG_FSR,Cu4C28H24N16O20,Cu,d_block_row4,0.75,0.90748,1.70726,2.105982889
qmof-0fcda30,HACWIR02_FSR,Mn2C24H12N8O16,Mn,d_block_row4,0.75,0.8958,1.59648,2.026426092
qmof-1b8f727,DEZZUE_FSR,Cu2C12H8N2O8,Cu,d_block_row4,0.75,1.49598,3.20738,1.945051854
qmof-462389a,KCLNLA01_FSR,K4C36Cl16H24O12,K,is_alkali,0.75,1.01141,1.77495,1.779961966
qmof-c054f0b,YAKLIF_FSR,Cu2C6Cl4H12S6,Cu,d_block_row4,0.75,0.86452,1.34625,2.322523062
qmof-79768f1,ETEVOP_FSR,Rb4C36Cl16H24O12,Rb,is_alkali,0.75,1.24509,2.01411,1.922187588
qmof-c6fb628,MICRAU_FSR,Cu2C34H30N2O10S2,Cu,d_block_row4,0.75,1.57273,3.82429,1.399495828
qmof-c8cd84e,NOQBUS_FSR,CoC38H30N2O12,Co,d_block_row4,0.75,0.88026,2.36572,1.595534609
qmof-3767e26,ETETON_FSR,K4Br16C36H24O12,K,is_alkali,0.75,0.89158,2.0024,2.561741091
qmof-3d26180,SIPYUM_FSR,Cu2C20H18N2O18,Cu,d_block_row4,0.75,0.85259,2.54734,1.916886685
qmof-043bf63,JETLEC_FSR,Cu4C56H32I4N4,Cu,d_block_row4,0.75,0.95718,1.85503,2.219289117
qmof-287a882,UHOCEB02_FSR,Cu4C36H20N12O8,Cu,d_block_row4,0.75,0.79158,1.98621,2.044614481
qmof-2bd5eb8,COQTAE_FSR,K4C40H48N8O4S4,K,is_alkali,0.75,1.1527,2.0693,1.456041115
qmof-926eb2f,PODNAY_FSR,Cu2C22H22N4O8,Cu,d_block_row4,0.75,1.40343,2.29808,1.633705865
qmof-5961f99,REGMEX_FSR,Cu2C16Cl2H8N4O2,Cu,d_block_row4,0.75,0.74841,1.38519,2.256664456
qmof-1cfa94a,BADXEJ01_FSR,Cu2C8Cl4H10N6,Cu,d_block_row4,0.75,0.75169,1.43453,2.23720437
qmof-6071ce7,IBUBIS01_FSR,U2C12H8N2O10,Organic_Only,unknown,0.75,0.87745,1.98675,3.45884639
qmof-9308b8e,GOVJAC_FSR,Cu2C12Cl2H18N6O12,Cu,d_block_row4,0.75,0.94922,1.71691,2.041782106
qmof-545e186,MOJWUF_FSR,Zn2C56H40N4O20,Zn,d_block_row4,0.75,1.14142,1.69275,1.736025326
qmof-230a690,WIHQEM_FSR,Cu4C20H12N8S8,Cu,d_block_row4,0.75,1.26027,2.89262,2.015472564
qmof-9545770,AFOLIR_FSR,MnC30H34N6O12S2,Mn,d_block_row4,1.25,1.02591,1.83221,1.661049816
qmof-361fd6f,BANHAA_FSR,Zn2C68H40N4O8,Zn,d_block_row4,1.25,1.23818,2.82061,1.432210501
qmof-10ff507,HICQIW_FSR,Mn2C52H44N8O8,Mn,d_block_row4,1.25,1.20878,2.83717,1.466699837
qmof-49bc51b,APASAN_FSR,Cu2C26H16N14S2,Cu,d_block_row4,1.25,0.93973,1.7029,1.827640624
qmof-cea3393,JEWCIY_FSR,Cu2C36Cl8H24N2O12,Cu,d_block_row4,1.25,1.0875,2.17472,1.801298263
qmof-6f98772,CUTCIF_FSR,MnC26F4H16N6O2,Mn,d_block_row4,1.25,1.01138,2.67316,1.564563132
qmof-0d8afa2,MUQWOM_FSR,Li4C56H28O16,Li,is_alkali,1.25,1.22373,2.21787,1.608842564
qmof-7668bea,FABJID_FSR,Cu2C24Cl2H16N4O8,Cu,d_block_row4,1.25,1.65184,2.26092,1.920422318
qmof-48ff45a,FATLUJ_FSR,Cu4C56H52N10O20,Cu,d_block_row4,1.25,3.8538,5.02711,1.246908706
qmof-3feeaa5,MIJKIA_FSR,Mn2C28H20N20,Mn,d_block_row4,1.25,0.97475,2.1891,1.754769041
qmof-193431e,YEQQER_FSR,Cu6C36H24I6N12,Cu,d_block_row4,1.25,1.20882,2.39466,2.761796879
qmof-ba8d316,INIROM_FSR,Co2C32H24O12,Co,d_block_row4,1.25,0.82803,1.56322,1.746231048
qmof-7af20fe,SITGAG_FSR,CuNaC18H18N6O2S6,Cu,d_block_row4,1.25,1.17604,2.15654,1.685059032
qmof-a3e45d0,NAJSUM02_FSR,Mn2C8H6N16,Mn,d_block_row4,1.25,1.04073,2.66042,1.843656071
qmof-3546d7f,MAXWUE_FSR,Cu4C40Cl2H28I4N8,Cu,d_block_row4,1.25,1.06224,2.05754,2.321737056
qmof-dc9df4c,VORTON01_FSR,Cu2C20H14I2N2O4,Cu,d_block_row4,1.25,0.90797,2.05752,2.439045731
qmof-3bba393,LOJPIL_FSR,MnMo6C16H18N6O22,Mo,d_block_row5,1.25,0.75515,1.79558,2.857637663
qmof-3110c7f,WUTNEG_FSR,Cu4C24H20I4N4O8,Cu,d_block_row4,1.25,1.08447,1.71819,2.66358114
qmof-16d3687,CUFCEN_FSR,Mn2C16H18N2O12,Mn,d_block_row4,1.25,2.20072,2.88726,1.864763896
qmof-244cb4f,RAMGIX_FSR,Zn4C52H32N8S20,Zn,d_block_row4,1.25,1.11705,2.02025,1.842519388
qmof-c8756ec,ODIJES_FSR,Mo2C20H22N2O8,Mo,d_block_row5,1.25,1.00318,2.04708,1.898678894
qmof-a79b912,EFIWAT_FSR,Cu2W6C48H40N12O19,W,d_block_row6,1.25,1.71621,2.79059,2.726411103
qmof-0f656a9,IRIGIB_FSR,Cu4C48H28N8S4,Cu,d_block_row4,1.25,0.8156,1.74662,1.999007414
qmof-45d422a,EDAPAC_FSR,Cu4C56H44N20O8,Cu,d_block_row4,1.25,1.01734,2.25865,1.639924782
qmof-e59232d,LIYLOU_FSR,Mn2C20Cl4H16N4,Mn,d_block_row4,1.25,0.81729,1.38397,1.965386011
qmof-1510275,OGUVES_FSR,Mn2Mo6C32H28N12O20,Mo,d_block_row5,1.25,0.90903,1.94071,2.483354492
qmof-d1fec5e,PAQJOG_FSR,Mn2C28H28N16O8,Mn,d_block_row4,1.25,0.92404,1.67467,1.687591221
qmof-37e26c7,PATHOI_FSR,Cu4C28Cl4H28N12O4,Cu,d_block_row4,1.25,1.06163,2.50076,1.951828295
qmof-2b2d255,OXCFOR_FSR,Co6C6H6O18,Co,d_block_row4,1.25,0.83657,2.6794,2.951446705
qmof-b5bdb39,DUMHEZ01_FSR,Cu2C26H16N14S2,Cu,d_block_row4,1.25,0.97213,1.51566,1.826344344
qmof-4d2d076,CISMOJ_FSR,Cu4C56H40N8O12,Cu,d_block_row4,1.25,1.10407,1.7399,1.804269
qmof-62820e8,LAZCEV_FSR,Cu4C36H44N4O16S4,Cu,d_block_row4,1.25,1.00511,2.79601,1.85413949
qmof-638b408,PENXIQ_FSR,CuC10Cl2H4N4S4,Cu,d_block_row4,1.25,0.90124,1.795,2.209437647
qmof-4fac276,DOJKEU_FSR,Mo2C40H30N2O8,Mo,d_block_row5,1.25,1.20755,2.07438,1.647364786
qmof-4e8ed50,KOFVUY_FSR,Cd2C26Cl4H20N6S2,Cd,d_block_row5,1.25,2.7416,5.07002,1.533595629
qmof-cafe9dc,GASJES_FSR,Cs2C24Cl4H20N4O8,Cs,is_alkali,1.25,1.12473,1.76977,1.92642182
qmof-d972c84,DINQOG_FSR,Cu2C10H6I2N6,Cu,d_block_row4,1.25,1.06228,2.03321,2.761222975
qmof-f906424,GEBZAR_FSR,Mn2C46H38N6O14,Mn,d_block_row4,1.25,0.85192,2.38327,1.606665803
qmof-5bf0c2a,QOCHAR_FSR,Cd2C12Cl4H8O12,Cd,d_block_row5,1.25,1.41252,2.47116,2.40084598
qmof-81dfe71,KALNOA_FSR,Cu4C48H36I4N4O4,Cu,d_block_row4,1.25,0.85825,1.93393,2.268460517
qmof-0aea5e3,JUSXUQ_FSR,MnC14H18N2O4,Mn,d_block_row4,1.25,1.06382,2.26888,1.525685116
qmof-932ec8e,QIPPIO_FSR,MnBr4C54H24N10,Mn,d_block_row4,1.25,3.75146,4.75301,1.372991575
qmof-663129a,RESGUU_FSR,Li6C44H34N2O18,Li,is_alkali,1.25,1.14308,2.73024,1.544179085
qmof-2cdc589,GEHMOW_FSR,Cu2C8Cl2H12N20,Cu,d_block_row4,1.25,1.15013,1.84875,1.882380148
qmof-8b33bc9,DIDYUM_FSR,Cu2C28H22I2N4O4S2,Cu,d_block_row4,1.25,1.02381,2.79617,2.099899173
qmof-7192ec8,PIRNAH01_FSR,Cs4C32Cl8H16N8O16,Cs,is_alkali,1.25,1.04866,1.73113,2.245156928
qmof-d0d6fd2,BOKXIK_FSR,Cu2C24Cl4H12N8O4S2,Cu,d_block_row4,1.25,1.44523,3.31258,1.687918131
qmof-85bc3c6,PUPXII_FSR,Mn2C20H14N6O10,Mn,d_block_row4,1.25,2.62484,3.28515,1.72484683
qmof-31797e0,DEYWAI01_FSR,Cu2C12Cl2H8I2N2O4,Cu,d_block_row4,1.25,1.13853,1.771,2.703373968
qmof-d46ee4f,DAZXOU_FSR,Cu4C24Cl4H20N4O8,Cu,d_block_row4,1.25,0.92985,1.69866,2.182482721
qmof-1f8e39f,QAFFAF_FSR,Mn2C32H28N4O12,Mn,d_block_row4,1.25,0.77751,2.39787,1.750320819
qmof-c4f3917,DEJGUV_FSR,Cu4C40H24N16S4,Cu,d_block_row4,1.25,0.86582,1.74905,1.969501602
qmof-0122bb1,BAMSEN_FSR,GaC32FH16N8,Ga,is_post_transition_metal,1.25,1.63694,1.96376,1.613873919
qmof-45a6307,WEZNUM_FSR,Zn6C20H12O20,Zn,d_block_row4,1.25,2.24403,2.94191,2.432783934
qmof-a457b47,BAHHUP01_FSR,Cd2C24Cl2H22N10O4,Cd,d_block_row5,1.25,1.75415,2.98635,1.809445487
qmof-c776af3,CAXCAG_FSR,Cu4C20H24N4O16,Cu,d_block_row4,1.25,1.14013,1.82554,2.014232719
qmof-d42c622,SOQVOK_FSR,MnC16H16N10O6,Mn,d_block_row4,1.25,1.77975,2.23029,1.774924692
qmof-a471706,SIWHAI_FSR,Cu2C16H24O10,Cu,d_block_row4,1.25,1.18981,2.12311,1.773164541
qmof-bf12e76,HEWRIK_FSR,Cu2C12H8I2N2,Cu,d_block_row4,1.25,1.16657,1.73154,2.891781323
qmof-8bcdd4b,CERKAO_FSR,MnC20H16N6O10,Mn,d_block_row4,1.25,0.74467,1.73597,1.849009517
qmof-3b1e56c,CEPGEJ_FSR,Cu4C40H40I4N16,Cu,d_block_row4,1.25,1.07967,1.87454,2.203295721
qmof-c30e806,HUTWUQ_FSR,Mn2C52H38N12O8,Mn,d_block_row4,1.25,1.577,2.79818,1.431108029
qmof-9062b93,CAVGIS_FSR,Ni2C42Cl2H34N4O10,Ni,d_block_row4,1.25,3.29068,4.25742,1.308341991
qmof-3600621,CAKTEP_FSR,Zn2C18H22N12O12S2,Zn,d_block_row4,1.25,1.13747,2.23746,1.933706433
