index,valid,MolWt,LogP,TPSA,HeavyAtomCount,NumHeteroatoms,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumRings,name
qmof-9b0ccbd,True,219.08099999999996,-6.838399999999999,180.42,15.0,9.0,0.0,8.0,3.0,0.0,0.0,BETGUF_FSR
qmof-c9f9a46,True,260.2049999999999,-0.8941000000000001,113.11999999999999,19.0,7.0,1.0,5.0,4.0,1.0,2.0,PASQUX_FSR
qmof-e7b175c,True,170.164,-1.7073999999999987,80.25999999999999,12.0,4.0,0.0,4.0,2.0,0.0,1.0,FORWUF01_FSR
qmof-c937650,True,214.17599999999996,-0.43320000000000003,80.25999999999999,16.0,4.0,0.0,4.0,2.0,2.0,2.0,OSUWIJ_FSR
qmof-12544e7,True,80.08999999999999,0.4765999999999999,25.78,6.0,2.0,0.0,2.0,0.0,1.0,1.0,PITVOD_FSR
qmof-7311839,True,361.9840000000001,3.1511000000000013,95.16,18.0,6.0,0.0,4.0,2.0,1.0,1.0,BISVUW_FSR
qmof-f8c7a01,False,,,,,,,,,,,DIHHOS_FSR
qmof-a3a6bff,True,88.01799999999999,-3.5138000000000003,80.25999999999999,6.0,4.0,0.0,4.0,0.0,0.0,0.0,LAFRUG_FSR
qmof-0fcda30,True,167.09999999999997,-3.4664099999999998,104.65,12.0,6.0,1.0,6.0,2.0,0.0,1.0,HACWIR02_FSR
qmof-1b8f727,True,194.14600000000002,-2.480999999999999,106.03999999999999,14.0,6.0,0.0,6.0,2.0,1.0,1.0,DEZZUE_FSR
qmof-462389a,True,303.9559999999999,3.111900000000001,51.21,16.0,7.0,0.0,3.0,0.0,0.0,1.0,KCLNLA01_FSR
qmof-c054f0b,True,138.28199999999998,2.0721,0.0,6.0,3.0,0.0,3.0,0.0,0.0,1.0,YAKLIF_FSR
qmof-79768f1,True,303.9559999999999,3.111900000000001,51.21,16.0,7.0,0.0,3.0,0.0,0.0,1.0,ETEVOP_FSR
qmof-c6fb628,True,272.281,0.5648,80.25999999999999,19.0,5.0,0.0,5.0,4.0,2.0,2.0,MICRAU_FSR
qmof-c8cd84e,True,188.186,0.6204000000000001,53.879999999999995,14.0,4.0,0.0,2.0,1.0,2.0,2.0,NOQBUS_FSR
qmof-3767e26,True,481.76000000000005,3.736300000000001,51.21,16.0,7.0,0.0,3.0,0.0,0.0,1.0,ETETON_FSR
qmof-3d26180,True,269.16499999999996,-2.1477999999999993,141.86,19.0,9.0,0.0,8.0,7.0,1.0,1.0,SIPYUM_FSR
qmof-043bf63,True,380.45000000000005,5.582600000000005,25.78,30.0,2.0,0.0,2.0,0.0,5.0,5.0,JETLEC_FSR
qmof-287a882,True,561.4740000000003,-2.6216099999999942,236.70000000000005,42.0,15.0,0.0,13.0,6.0,3.0,6.0,UHOCEB02_FSR
qmof-2bd5eb8,True,72.107,0.7968,9.23,5.0,1.0,0.0,1.0,0.0,0.0,1.0,COQTAE_FSR
qmof-926eb2f,True,234.262,2.6006,51.56,18.0,4.0,0.0,4.0,2.0,3.0,3.0,PODNAY_FSR
qmof-5961f99,False,,,,,,,,,,,REGMEX_FSR
qmof-1cfa94a,True,95.10499999999999,0.05880000000000002,51.8,7.0,3.0,1.0,3.0,0.0,1.0,1.0,BADXEJ01_FSR
qmof-6071ce7,False,,,,,,,,,,,IBUBIS01_FSR
qmof-9308b8e,False,,,,,,,,,,,GOVJAC_FSR
qmof-545e186,True,528.4730000000003,1.8640999999999994,189.86999999999995,39.0,11.0,2.0,9.0,9.0,4.0,4.0,MOJWUF_FSR
qmof-230a690,True,142.208,0.7964,24.72,8.0,4.0,0.0,2.0,0.0,0.0,1.0,WIHQEM_FSR
qmof-9545770,True,156.18799999999996,2.1435999999999993,25.78,12.0,2.0,0.0,2.0,1.0,2.0,2.0,AFOLIR_FSR
qmof-361fd6f,True,224.239,1.6154999999999997,53.019999999999996,17.0,3.0,0.0,3.0,3.0,2.0,2.0,BANHAA_FSR
qmof-10ff507,True,227.243,2.5171900000000003,57.62,17.0,4.0,0.0,2.0,3.0,2.0,2.0,HICQIW_FSR
qmof-49bc51b,True,294.323,1.3873799999999996,102.49,21.0,8.0,0.0,5.0,2.0,2.0,3.0,APASAN_FSR
qmof-cea3393,True,80.08999999999999,0.4765999999999999,25.78,6.0,2.0,0.0,2.0,0.0,1.0,1.0,JEWCIY_FSR
qmof-6f98772,True,276.152,2.1825000000000006,95.16,20.0,8.0,0.0,4.0,2.0,1.0,1.0,CUTCIF_FSR
qmof-0d8afa2,True,239.20600000000002,2.3114000000000003,74.27,18.0,4.0,1.0,3.0,0.0,2.0,3.0,MUQWOM_FSR
qmof-7668bea,False,,,,,,,,,,,FABJID_FSR
qmof-48ff45a,True,576.5420000000003,-3.222399999999996,233.47,42.0,14.0,3.0,11.0,13.0,3.0,3.0,FATLUJ_FSR
qmof-3feeaa5,True,42.021,-1.4418000000000002,58.7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,MIJKIA_FSR
qmof-193431e,False,,,,,,,,,,,YEQQER_FSR
qmof-ba8d316,True,150.13299999999995,-0.09190000000000009,60.03,11.0,3.0,0.0,2.0,2.0,1.0,1.0,INIROM_FSR
qmof-7af20fe,False,,,,,,,,,,,SITGAG_FSR
qmof-a3e45d0,True,200.18500000000003,-0.5082000000000009,110.26,15.0,7.0,0.0,4.0,1.0,2.0,2.0,NAJSUM02_FSR
qmof-3546d7f,False,,,,,,,,,,,MAXWUE_FSR
qmof-dc9df4c,False,,,,,,,,,,,VORTON01_FSR
qmof-3bba393,False,,,,,,,,,,,LOJPIL_FSR
qmof-3110c7f,False,,,,,,,,,,,WUTNEG_FSR
qmof-16d3687,True,179.13099999999994,-2.0042,106.28,13.0,5.0,1.0,5.0,2.0,1.0,1.0,CUFCEN_FSR
qmof-244cb4f,True,156.18799999999996,2.1435999999999993,25.78,12.0,2.0,0.0,2.0,1.0,2.0,2.0,RAMGIX_FSR
qmof-c8756ec,True,182.226,2.6470000000000002,25.78,14.0,2.0,0.0,2.0,2.0,2.0,2.0,ODIJES_FSR
qmof-a79b912,False,,,,,,,,,,,EFIWAT_FSR
qmof-0f656a9,False,,,,,,,,,,,IRIGIB_FSR
qmof-45d422a,True,26.018,0.09637,23.79,2.0,1.0,0.0,1.0,0.0,0.0,0.0,EDAPAC_FSR
qmof-e59232d,True,156.18799999999996,2.1435999999999993,25.78,12.0,2.0,0.0,2.0,1.0,2.0,2.0,LIYLOU_FSR
qmof-1510275,False,,,,,,,,,,,OGUVES_FSR
qmof-d1fec5e,True,42.021,-1.4418000000000002,58.7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,PAQJOG_FSR
qmof-37e26c7,True,565.5780000000002,2.0488999999999997,195.76000000000002,42.0,15.0,0.0,10.0,6.0,4.0,6.0,PATHOI_FSR
qmof-2b2d255,True,45.016999999999996,-1.6339000000000001,40.129999999999995,3.0,2.0,0.0,2.0,0.0,0.0,0.0,OXCFOR_FSR
qmof-b5bdb39,True,294.323,1.38738,102.49,21.0,8.0,0.0,5.0,2.0,2.0,3.0,DUMHEZ01_FSR
qmof-4d2d076,True,254.245,2.3147000000000006,83.66,19.0,5.0,1.0,3.0,3.0,2.0,2.0,CISMOJ_FSR
qmof-62820e8,False,,,,,,,,,,,LAZCEV_FSR
qmof-638b408,True,308.438,3.4890000000000008,51.56,18.0,8.0,0.0,8.0,0.0,2.0,4.0,PENXIQ_FSR
qmof-4fac276,True,303.341,2.6971000000000007,65.91,23.0,4.0,0.0,4.0,3.0,3.0,3.0,DOJKEU_FSR
qmof-4e8ed50,False,,,,,,,,,,,KOFVUY_FSR
qmof-cafe9dc,True,227.00599999999997,1.17116,81.72,14.0,6.0,0.0,4.0,0.0,0.0,1.0,GASJES_FSR
qmof-d972c84,False,,,,,,,,,,,DINQOG_FSR
qmof-f906424,True,257.20099999999996,-0.39910000000000023,102.38,19.0,6.0,0.0,6.0,4.0,2.0,2.0,GEBZAR_FSR
qmof-5bf0c2a,True,206.96799999999996,-0.18202000000000007,68.28,12.0,6.0,0.0,4.0,0.0,0.0,1.0,QOCHAR_FSR
qmof-81dfe71,False,,,,,,,,,,,KALNOA_FSR
qmof-0aea5e3,True,80.08999999999999,0.4765999999999999,25.78,6.0,2.0,0.0,2.0,0.0,1.0,1.0,JUSXUQ_FSR
qmof-932ec8e,True,204.152,0.7210799999999999,142.73999999999998,16.0,6.0,0.0,6.0,1.0,0.0,0.0,QIPPIO_FSR
qmof-663129a,True,344.2780000000001,5.536600000000002,119.4,26.0,6.0,0.0,0.0,0.0,3.0,6.0,RESGUU_FSR
qmof-2cdc589,True,194.162,-2.1793999999999993,115.4,14.0,10.0,0.0,8.0,3.0,2.0,2.0,GEHMOW_FSR
qmof-8b33bc9,True,542.6420000000003,7.888600000000006,111.0,38.0,10.0,0.0,8.0,11.0,4.0,4.0,DIDYUM_FSR
qmof-7192ec8,True,227.00599999999997,1.17116,81.72,14.0,6.0,0.0,4.0,0.0,0.0,1.0,PIRNAH01_FSR
qmof-d0d6fd2,True,270.273,1.5131999999999999,88.12,19.0,7.0,0.0,4.0,0.0,3.0,4.0,BOKXIK_FSR
qmof-85bc3c6,True,231.167,-1.801299999999999,121.83,17.0,7.0,1.0,6.0,3.0,2.0,2.0,PUPXII_FSR
qmof-31797e0,False,,,,,,,,,,,DEYWAI01_FSR
qmof-d46ee4f,False,,,,,,,,,,,DAZXOU_FSR
qmof-1f8e39f,True,114.05599999999998,-2.9576000000000002,80.25999999999999,8.0,4.0,0.0,4.0,2.0,0.0,0.0,QAFFAF_FSR
qmof-c4f3917,True,58.085,0.66498,23.79,3.0,2.0,0.0,1.0,0.0,0.0,0.0,DEJGUV_FSR
qmof-0122bb1,False,,,,,,,,,,,BAMSEN_FSR
qmof-45a6307,True,250.11799999999994,-4.859400000000001,160.51999999999998,18.0,8.0,0.0,8.0,4.0,1.0,1.0,WEZNUM_FSR
qmof-a457b47,False,,,,,,,,,,,BAHHUP01_FSR
qmof-c776af3,True,108.14399999999999,1.09344,25.78,8.0,2.0,0.0,2.0,0.0,1.0,1.0,CAXCAG_FSR
qmof-d42c622,True,204.16899999999998,-1.04751,94.55,15.0,7.0,0.0,6.0,3.0,0.0,2.0,SOQVOK_FSR
qmof-a471706,True,170.164,-1.7073999999999987,80.25999999999999,12.0,4.0,0.0,4.0,2.0,0.0,1.0,SIWHAI_FSR
qmof-bf12e76,True,180.21,2.7830000000000004,25.78,14.0,2.0,0.0,2.0,0.0,3.0,3.0,HEWRIK_FSR
qmof-8bcdd4b,True,232.17499999999998,-0.7647100000000002,107.13,17.0,7.0,1.0,5.0,3.0,1.0,2.0,CERKAO_FSR
qmof-3b1e56c,False,,,,,,,,,,,CEPGEJ_FSR
qmof-c30e806,True,374.35600000000017,-0.26602000000000037,134.24,28.0,8.0,0.0,6.0,7.0,3.0,3.0,HUTWUQ_FSR
qmof-9062b93,False,,,,,,,,,,,CAVGIS_FSR
qmof-3600621,False,,,,,,,,,,,CAKTEP_FSR
qmof-64ce5e9,True,80.08999999999999,0.4765999999999999,25.78,6.0,2.0,0.0,2.0,0.0,1.0,1.0,CAQXAT01_FSR
qmof-b874271,True,278.26800000000003,-1.8515999999999981,88.0,20.0,8.0,0.0,8.0,1.0,2.0,2.0,HOFZAD_FSR
qmof-acc8248,False,,,,,,,,,,,TACDOR_FSR
qmof-a3577c1,False,,,,,,,,,,,TEMSUB_FSR
qmof-534fef5,True,236.14599999999996,-2.96148,146.36999999999998,18.0,7.0,0.0,7.0,0.0,1.0,1.0,TEJXIQ_FSR
qmof-2c0cdf7,True,678.5379999999998,3.3903700000000017,106.04999999999998,40.0,16.0,0.0,11.0,8.0,3.0,6.0,AGUMUL_FSR
qmof-6949036,True,185.004,-4.004199999999999,157.68999999999997,11.0,9.0,2.0,5.0,0.0,0.0,0.0,HIHNET_FSR
qmof-195ef6a,True,158.164,0.9335999999999999,51.56,12.0,4.0,0.0,4.0,1.0,2.0,2.0,HIFZOM_FSR
qmof-6cf875d,True,166.09199999999998,-2.7964,106.03999999999999,12.0,6.0,0.0,6.0,2.0,1.0,1.0,TEYLUG_FSR
qmof-fbc9303,True,434.40800000000024,-0.07462000000000024,174.70000000000002,32.0,10.0,2.0,8.0,7.0,3.0,3.0,CADZIT_FSR
qmof-cd4e737,True,122.10299999999997,-0.5549000000000002,53.019999999999996,9.0,3.0,0.0,3.0,1.0,1.0,1.0,CEKSEQ01_FSR
qmof-56f3712,True,158.164,0.9335999999999999,51.56,12.0,4.0,0.0,4.0,1.0,2.0,2.0,HIFZIG_FSR
qmof-391b168,True,273.299,2.853300000000001,55.97,21.0,5.0,0.0,5.0,2.0,4.0,4.0,SOWHES_FSR
qmof-6fbdeae,True,182.226,2.6470000000000002,25.78,14.0,2.0,0.0,2.0,2.0,2.0,2.0,SUXSUA_FSR
qmof-fd5ecfb,True,156.168,1.7261699999999995,49.57,12.0,3.0,0.0,3.0,0.0,2.0,2.0,SUYDOF01_FSR
qmof-1fd65b5,True,238.294,2.40519,52.24,18.0,4.0,0.0,3.0,4.0,2.0,2.0,BAHNUW_FSR
qmof-8a54112,True,220.14000000000001,-1.6779,111.13,16.0,7.0,0.0,7.0,0.0,1.0,2.0,FANZEA_FSR
qmof-d7660a3,True,284.22700000000003,-0.9391000000000005,122.25,21.0,7.0,1.0,6.0,4.0,2.0,2.0,MOFPUU_FSR
qmof-082c84f,False,,,,,,,,,,,MOHFIA_FSR
qmof-68010e6,False,,,,,,,,,,,MOLVOZ01_FSR
qmof-2f9cf3e,True,286.22700000000003,2.1094,128.58,21.0,9.0,0.0,4.0,6.0,2.0,2.0,GICZOI_FSR
qmof-5f6120f,False,,,,,,,,,,,KEXFOJ_FSR
qmof-d4d3c5f,True,236.14599999999996,-2.96148,146.36999999999998,18.0,7.0,0.0,7.0,0.0,1.0,1.0,GIWVEO_FSR
qmof-ec24300,True,201.99499999999998,0.7605999999999997,133.97,11.0,9.0,1.0,3.0,2.0,0.0,0.0,GIQYAH_FSR
qmof-308fadd,True,201.99499999999998,0.7605999999999997,133.97,11.0,9.0,1.0,3.0,2.0,0.0,0.0,GIQYUB_FSR
qmof-15d1d11,False,,,,,,,,,,,GIRFAQ_FSR
qmof-7351afb,True,58.085,0.66498,23.79,3.0,2.0,0.0,1.0,0.0,0.0,0.0,UFUTAQ_FSR
qmof-04aceb4,False,,,,,,,,,,,UGENUP_FSR
qmof-222bdec,True,58.085,0.66498,23.79,3.0,2.0,0.0,1.0,0.0,0.0,0.0,UGEPAX_FSR
qmof-b01b0cf,True,122.10299999999997,-0.5549000000000004,53.019999999999996,9.0,3.0,0.0,3.0,1.0,1.0,1.0,KAKTIA01_FSR
qmof-4541d4f,False,,,,,,,,,,,KALMIT_FSR
qmof-7de6775,False,,,,,,,,,,,KAPSIF_FSR
qmof-a820aa0,True,201.99499999999998,0.7605999999999997,133.97,11.0,9.0,1.0,3.0,2.0,0.0,0.0,GIQXUA_FSR
qmof-4a16101,True,399.4100000000001,4.993000000000005,62.75,29.0,5.0,0.0,3.0,4.0,4.0,4.0,CIZWIU_FSR
qmof-a47217e,False,,,,,,,,,,,GUVBOP_FSR
qmof-97f5963,False,,,,,,,,,,,XUXZOF01_FSR
qmof-14906a2,False,,,,,,,,,,,GUKNAC01_FSR
qmof-8782178,True,190.25,1.56,35.64,14.0,4.0,0.0,4.0,5.0,2.0,2.0,CUKZOY_FSR
qmof-3fa29a2,True,246.339,2.31684,51.56,17.0,5.0,0.0,5.0,4.0,2.0,2.0,RABBUS_FSR
qmof-8962914,False,,,,,,,,,,,XODZEX_FSR
qmof-54f7ee7,False,,,,,,,,,,,KAZQAG_FSR
qmof-d3a4dfb,True,164.11599999999996,-1.5864000000000003,80.25999999999999,12.0,4.0,0.0,4.0,2.0,1.0,1.0,DIBGOM_FSR
qmof-44525cd,True,371.6240000000001,6.073200000000003,12.89,20.0,7.0,0.0,7.0,1.0,1.0,4.0,DEWLOJ_FSR
qmof-cbd795c,True,540.6300000000002,8.058600000000006,77.34,42.0,6.0,0.0,6.0,6.0,7.0,7.0,DEXVEJ_FSR
qmof-3cfd336,False,,,,,,,,,,,DEJGOP_FSR
qmof-c47521e,True,667.7,0.8320000000000003,80.25999999999999,16.0,8.0,0.0,4.0,2.0,1.0,1.0,GICCUS_FSR
qmof-8676659,False,,,,,,,,,,,AREWOL_FSR
qmof-da61c3d,True,540.8040000000002,9.895399999999995,24.72,36.0,6.0,0.0,6.0,10.0,5.0,5.0,DIDYOG_FSR
qmof-74b1a87,False,,,,,,,,,,,DIHFAD_FSR
qmof-f1ec197,True,66.043,-0.44704000000000005,61.68,5.0,3.0,0.0,2.0,0.0,0.0,0.0,UNEQOU_FSR
qmof-d04a2a3,True,80.08999999999999,0.47659999999999986,25.78,6.0,2.0,0.0,2.0,0.0,1.0,1.0,KIQLAX_FSR
qmof-2aec50f,True,168.172,-0.61538,67.07,12.0,4.0,0.0,3.0,0.0,1.0,1.0,KIHVAB_FSR
qmof-6219623,True,122.11099999999998,-0.9652000000000007,84.48,9.0,5.0,0.0,2.0,0.0,1.0,1.0,KIVZAR_FSR
qmof-0be87d2,True,212.25599999999994,1.3972,51.56,16.0,4.0,0.0,4.0,0.0,2.0,4.0,IXITIS_FSR
qmof-0abe557,True,200.18500000000003,-0.5082000000000009,110.26,15.0,7.0,0.0,4.0,1.0,2.0,2.0,RAPDER_FSR
qmof-41c3d42,True,194.09799999999996,-1.2988000000000002,120.06,14.0,6.0,0.0,4.0,2.0,1.0,1.0,COKNOH_FSR
qmof-9544bd5,True,312.33600000000007,2.719540000000001,120.94,24.0,6.0,0.0,6.0,2.0,2.0,2.0,BUKHUM_FSR
qmof-00da3cc,True,310.36,4.267600000000003,51.56,24.0,4.0,0.0,4.0,3.0,4.0,4.0,RETXIY_FSR
qmof-f6a044d,True,158.16400000000002,0.9335999999999998,51.56,12.0,4.0,0.0,4.0,1.0,2.0,2.0,QETFEA_FSR
qmof-7aa6be5,True,202.511,0.967,30.71,8.0,6.0,0.0,3.0,1.0,1.0,1.0,QEJZUB01_FSR
qmof-3f56361,True,192.40200000000002,3.8892,0.0,6.0,6.0,0.0,4.0,3.0,0.0,0.0,QIBZAD_FSR
qmof-f0a4dcc,False,,,,,,,,,,,QIFVOT_FSR
qmof-fea9e70,True,238.29500000000002,3.447980000000001,49.57,17.0,4.0,0.0,3.0,0.0,3.0,3.0,BOQTEH_FSR
qmof-e3bbf40,False,,,,,,,,,,,QIXYAY_FSR
qmof-623366c,True,130.14999999999998,1.47429,26.46,10.0,2.0,0.0,1.0,0.0,1.0,2.0,DAMXAT_FSR
qmof-3f54b7d,False,,,,,,,,,,,DAMXEX_FSR
qmof-6fe7cc9,False,,,,,,,,,,,KALMOZ_FSR
qmof-1f7d6ac,False,,,,,,,,,,,KALNIU_FSR
qmof-2482286,True,112.03999999999999,-1.7236000000000002,68.28,8.0,4.0,0.0,4.0,0.0,0.0,1.0,GIWTEL01_FSR
qmof-65e8107,True,182.226,2.6470000000000002,25.78,14.0,2.0,0.0,2.0,2.0,2.0,2.0,GOXSIV_FSR
qmof-f5b47bc,True,322.28,-0.1472000000000006,137.62,24.0,8.0,2.0,6.0,2.0,4.0,4.0,KOFWOT_FSR
qmof-5e0e2eb,True,105.1,0.3482799999999999,49.57,8.0,3.0,0.0,3.0,0.0,1.0,1.0,DINQUM_FSR
qmof-a78e151,True,105.1,0.3482799999999999,49.57,8.0,3.0,0.0,3.0,0.0,1.0,1.0,DINTID_FSR
qmof-9e620c1,True,198.201,1.1120999999999999,53.019999999999996,15.0,3.0,0.0,3.0,2.0,2.0,2.0,PIHJOH03_FSR
qmof-8137b0f,True,206.96799999999996,-0.18202000000000007,68.28,12.0,6.0,0.0,4.0,0.0,0.0,1.0,UQUYOW_FSR
qmof-d45d958,True,58.085,0.66498,23.79,3.0,2.0,0.0,1.0,0.0,0.0,0.0,BIYWOY_FSR
qmof-6104fb7,True,247.14199999999994,-3.1834,140.52999999999997,18.0,8.0,1.0,6.0,2.0,1.0,2.0,GAXNEA_FSR
qmof-0331d6b,True,180.21,2.7830000000000004,25.78,14.0,2.0,0.0,2.0,0.0,3.0,3.0,XENBUN_FSR
qmof-cd498a4,False,,,,,,,,,,,GAJBEB_FSR
qmof-ed02e1b,True,340.43,3.925780000000003,32.260000000000005,26.0,4.0,0.0,4.0,5.0,2.0,4.0,DOHGAK_FSR
qmof-b56b577,True,206.96799999999996,-0.18202000000000007,68.28,12.0,6.0,0.0,4.0,0.0,0.0,1.0,GEQBAH_FSR
qmof-ca905a4,False,,,,,,,,,,,HAVSAB_FSR
qmof-0ec6421,False,,,,,,,,,,,ISADAH_FSR
qmof-bf18e45,True,543.4560000000001,4.012060000000003,37.68,26.0,13.0,0.0,9.0,1.0,0.0,6.0,IVAQEC_FSR
qmof-0514159,True,156.18799999999996,2.1435999999999993,25.78,12.0,2.0,0.0,2.0,1.0,2.0,2.0,HADMIJ_FSR
qmof-ba7c077,True,113.05600000000001,-0.8196000000000001,81.96000000000001,8.0,6.0,0.0,4.0,0.0,0.0,1.0,IWIVIV02_FSR
qmof-8ce3f11,True,200.08599999999998,-0.5568000000000001,132.31,14.0,9.0,0.0,7.0,2.0,0.0,1.0,DOCJEL_FSR
qmof-03f7272,True,381.4380000000001,4.071000000000003,38.67,30.0,3.0,0.0,3.0,0.0,4.0,4.0,BIWRUX_FSR
qmof-70b42ce,False,,,,,,,,,,,BIWSAE_FSR
qmof-300be09,True,222.29800000000003,2.0659999999999994,51.56,14.0,6.0,0.0,6.0,3.0,2.0,2.0,BIYLAY_FSR
qmof-22c0271,True,222.29800000000003,2.0659999999999994,51.56,14.0,6.0,0.0,6.0,3.0,2.0,2.0,BIYLEC_FSR
qmof-dbb129d,False,,,,,,,,,,,GAGJIK_FSR
