qmof_id,name,analysis_bin,info.pld,info.lcd,info.density,info.volume,info.natoms,info.symmetry.spacegroup_number,info.mofid.topology,info.synthesized,primary_metal,metal_signature,n_metal_types,linker_scaffold
qmof-287a882,UHOCEB02_FSR,bandgap_0.5_to_1.0eV,0.79158,1.98621,2.044614481,814.4295998,80,14,fes,True,Cu,[Cu],1,C1=CC(c2ccccn2)=N[N]1.C1=N[N]C(c2ccccn2)=C1.[CH]1C=NN=C1c1ccccn1
qmof-2bd5eb8,COQTAE_FSR,bandgap_0.5_to_1.0eV,1.1527,2.0693,1.456041115,1128.48864,108,13,,True,K,[K],1,C1CCOC1
qmof-926eb2f,PODNAY_FSR,bandgap_0.5_to_1.0eV,1.40343,2.29808,1.633705865,607.3382606,58,2,,True,Cu,[Cu][Cu],1,c1cc(-c2ccc(-c3ccnnc3)cc2)cnn1
qmof-5961f99,REGMEX_FSR,bandgap_0.5_to_1.0eV,0.74841,1.38519,2.256664456,357.8072649,34,2,,True,Cu,unknown,0,
qmof-1cfa94a,BADXEJ01_FSR,bandgap_0.5_to_1.0eV,0.75169,1.43453,2.23720437,340.7684934,30,11,,True,Cu,Cl[Cu]Cl,1,c1cncnc1
qmof-6071ce7,IBUBIS01_FSR,bandgap_0.5_to_1.0eV,0.87745,1.98675,3.45884639,391.8725253,34,2,,True,Organic_Only,unknown,0,
qmof-9308b8e,GOVJAC_FSR,bandgap_0.5_to_1.0eV,0.94922,1.71691,2.041782106,517.4914881,52,2,,True,Cu,unknown,0,
qmof-545e186,MOJWUF_FSR,bandgap_0.5_to_1.0eV,1.14142,1.69275,1.736025326,1166.712163,122,15,,True,Zn,[O]|[Zn],2,c1cc(CCc2ccncc2)ccn1.c1ccc(Oc2ccccc2)cc1
qmof-230a690,WIHQEM_FSR,bandgap_0.5_to_1.0eV,1.26027,2.89262,2.015472564,720.963791,52,9,,True,Cu,[Cu],1,S=C1N=CC=NC1=S
qmof-9545770,AFOLIR_FSR,bandgap_1.0_to_1.5eV,1.02591,1.83221,1.661049816,789.4491861,85,2,,True,Mn,[OH2][Mn][OH2],1,c1cc(-c2ccncc2)ccn1
qmof-361fd6f,BANHAA_FSR,bandgap_1.0_to_1.5eV,1.23818,2.82061,1.432210501,1358.711694,122,2,,True,Zn,[Zn],1,C(=Cc1cccnc1)c1ccccc1
qmof-10ff507,HICQIW_FSR,bandgap_1.0_to_1.5eV,1.20878,2.83717,1.466699837,1153.479433,114,5,sql,True,Mn,[Mn],1,c1ccc(-n2ccnc2)cc1
qmof-49bc51b,APASAN_FSR,bandgap_1.0_to_1.5eV,0.93973,1.7029,1.827640624,650.2825183,60,11,sql,True,Cu,[Cu],1,c1cncc(C2=N[N]C(c3cccnc3)=N[N]2)c1
qmof-cea3393,JEWCIY_FSR,bandgap_1.0_to_1.5eV,1.0875,2.17472,1.801298263,1002.333026,84,2,,True,Cu,[Cu][Cu],1,c1cnccn1
qmof-6f98772,CUTCIF_FSR,bandgap_1.0_to_1.5eV,1.01138,2.67316,1.564563132,610.6715266,55,2,sql,True,Mn,[Mn],1,c1ccccc1
qmof-0d8afa2,MUQWOM_FSR,bandgap_1.0_to_1.5eV,1.22373,2.21787,1.608842564,1016.213032,104,19,,True,Li,[Li],1,O=C1c2ccccc2C(=O)c2ccccc21
qmof-7668bea,FABJID_FSR,bandgap_1.0_to_1.5eV,1.65184,2.26092,1.920422318,593.5154894,56,7,,True,Cu,unknown,0,
qmof-48ff45a,FATLUJ_FSR,bandgap_1.0_to_1.5eV,3.8538,5.02711,1.246908706,1916.686148,142,2,,True,Cu,[Cu][O]1[Cu][O]([Cu]1)[Cu],1,c1cc(CCCc2ccncc2)ccn1.c1ccccc1
qmof-3feeaa5,MIJKIA_FSR,bandgap_1.0_to_1.5eV,0.97475,2.1891,1.754769041,706.3836098,70,2,,True,Mn,[Mn],1,
qmof-193431e,YEQQER_FSR,bandgap_1.0_to_1.5eV,1.20882,2.39466,2.761796879,1062.63015,84,2,,True,Cu,unknown,0,
qmof-ba8d316,INIROM_FSR,bandgap_1.0_to_1.5eV,0.82803,1.56322,1.746231048,683.1388273,70,14,,True,Co,[Co],1,c1ccccc1
qmof-7af20fe,SITGAG_FSR,bandgap_1.0_to_1.5eV,1.17604,2.15654,1.685059032,620.14309,52,2,,True,Cu,unknown,0,
qmof-a3e45d0,NAJSUM02_FSR,bandgap_1.0_to_1.5eV,1.04073,2.66042,1.843656071,392.8002337,32,1,hcb,True,Mn,[Mn],1,c1cnc(-c2ncccn2)nc1
qmof-3546d7f,MAXWUE_FSR,bandgap_1.0_to_1.5eV,1.06224,2.05754,2.321737056,1039.500605,86,2,,True,Cu,unknown,0,
qmof-dc9df4c,VORTON01_FSR,bandgap_1.0_to_1.5eV,0.90797,2.05752,2.439045731,495.1139701,44,2,,True,Cu,unknown,0,
qmof-3bba393,LOJPIL_FSR,bandgap_1.0_to_1.5eV,0.75515,1.79558,2.857637663,742.0024538,69,1,,True,Mo,O|[Mn]|[Mo]|[O],4,
qmof-3110c7f,WUTNEG_FSR,bandgap_1.0_to_1.5eV,1.08447,1.71819,2.66358114,781.9223615,64,14,,True,Cu,unknown,0,
qmof-16d3687,CUFCEN_FSR,bandgap_1.0_to_1.5eV,2.20072,2.88726,1.864763896,481.0352905,50,1,,True,Mn,[OH2][Mn][OH2],1,c1ccccc1
qmof-244cb4f,RAMGIX_FSR,bandgap_1.0_to_1.5eV,1.11705,2.02025,1.842519388,1506.681212,116,14,,True,Zn,[Zn],1,c1cc(-c2ccncc2)ccn1
qmof-c8756ec,ODIJES_FSR,bandgap_1.0_to_1.5eV,1.00318,2.04708,1.898678894,533.7338862,54,2,,True,Mo,[Mo][Mo],1,C(=Cc1ccncc1)c1ccncc1
qmof-a79b912,EFIWAT_FSR,bandgap_1.0_to_1.5eV,1.71621,2.79059,2.726411103,1412.422199,127,2,,True,W,unknown,0,
qmof-0f656a9,IRIGIB_FSR,bandgap_1.0_to_1.5eV,0.8156,1.74662,1.999007414,913.1132733,92,14,,True,Cu,unknown,0,
qmof-45d422a,EDAPAC_FSR,bandgap_1.0_to_1.5eV,1.01734,2.25865,1.639924782,1396.599442,132,14,,True,Cu,[Cu],1,
qmof-e59232d,LIYLOU_FSR,bandgap_1.0_to_1.5eV,0.81729,1.38397,1.965386011,476.5663856,46,16,,True,Mn,Cl[Mn]Cl,1,c1cc(-c2ccncc2)ccn1
qmof-1510275,OGUVES_FSR,bandgap_1.0_to_1.5eV,0.90903,1.94071,2.483354492,1060.606827,100,1,,True,Mo,[Mn]|[Mo]|[O],3,
qmof-d1fec5e,PAQJOG_FSR,bandgap_1.0_to_1.5eV,0.92404,1.67467,1.687591221,813.2515756,82,4,sql,True,Mn,[Mn],1,
qmof-37e26c7,PATHOI_FSR,bandgap_1.0_to_1.5eV,1.06163,2.50076,1.951828295,844.4617321,80,2,,True,Cu,Cl[Cu],1,c1ccc(C2=N[N]C(c3ccccn3)N=N2)nc1.c1ccc(C2=N[N]C(c3ccccn3)[N][N]2)nc1
qmof-2b2d255,OXCFOR_FSR,bandgap_1.0_to_1.5eV,0.83657,2.6794,2.951446705,404.9167863,36,2,,True,Co,[Co]1[O]2[Co]3O[Co]4[O]1[Co]1O[Co]2[O]3[Co][O]41,1,
qmof-b5bdb39,DUMHEZ01_FSR,bandgap_1.0_to_1.5eV,0.97213,1.51566,1.826344344,650.7440678,60,11,sql,True,Cu,[Cu],1,c1cc(C2=N[N]C(c3ccncc3)=N[N]2)ccn1
qmof-4d2d076,CISMOJ_FSR,bandgap_1.0_to_1.5eV,1.10407,1.7399,1.804269,1169.8863,120,14,,True,Cu,[Cu],1,O=C([N]N=Cc1ccccc1)c1ccccc1
qmof-62820e8,LAZCEV_FSR,bandgap_1.0_to_1.5eV,1.00511,2.79601,1.85413949,1048.905071,108,14,,True,Cu,unknown,0,
qmof-638b408,PENXIQ_FSR,bandgap_1.0_to_1.5eV,0.90124,1.795,2.209437647,332.851887,25,2,,True,Cu,Cl[Cu]Cl,1,c1cnc2c(n1)SC(=C1Sc3nccnc3S1)S2
qmof-4fac276,DOJKEU_FSR,bandgap_1.0_to_1.5eV,1.20755,2.07438,1.647364786,865.4208212,82,2,,True,Mo,[Mo][Mo],1,C(=Cc1ccncc1)c1ccncc1.c1ccccc1
qmof-4e8ed50,KOFVUY_FSR,bandgap_1.0_to_1.5eV,2.7416,5.07002,1.533595629,917.3716229,60,2,,True,Cd,unknown,0,
qmof-cafe9dc,GASJES_FSR,bandgap_1.0_to_1.5eV,1.12473,1.76977,1.92642182,775.8350812,62,2,,True,Cs,[Cs]1[OH2][Cs][OH2]1,1,O=C1C=CC(=O)C=C1
qmof-d972c84,DINQOG_FSR,bandgap_1.0_to_1.5eV,1.06228,2.03321,2.761222975,355.4720657,26,11,,True,Cu,unknown,0,
qmof-f906424,GEBZAR_FSR,bandgap_1.0_to_1.5eV,0.85192,2.38327,1.606665803,1042.524686,106,2,,True,Mn,[OH2][Mn][OH2],1,c1ccc(Oc2cccnc2)cc1
qmof-5bf0c2a,QOCHAR_FSR,bandgap_1.0_to_1.5eV,1.41252,2.47116,2.40084598,491.6359749,38,2,,True,Cd,[OH2][Cd][OH2],1,O=C1[CH]C(=O)C(=O)[CH]C1=O
qmof-81dfe71,KALNOA_FSR,bandgap_1.0_to_1.5eV,0.85825,1.93393,2.268460517,1094.083137,100,14,,True,Cu,unknown,0,
qmof-0aea5e3,JUSXUQ_FSR,bandgap_1.0_to_1.5eV,1.06382,2.26888,1.525685116,362.6967083,39,1,,True,Mn,[Mn],1,c1cnccn1
qmof-932ec8e,QIPPIO_FSR,bandgap_1.0_to_1.5eV,3.75146,4.75301,1.372991575,1436.065982,93,2,,True,Mn,[Mn],1,
qmof-663129a,RESGUU_FSR,bandgap_1.0_to_1.5eV,1.14308,2.73024,1.544179085,989.7443264,104,2,bey,True,Li,[Li][OH2]|[Li][OH2][Li][OH2],2,c1ccc2c(c1)C1c3ccccc3C2c2ccccc21
qmof-2cdc589,GEHMOW_FSR,bandgap_1.0_to_1.5eV,1.15013,1.84875,1.882380148,517.2151032,44,13,,True,Cu,Cl[Cu],1,[N]([N]c1nnn[nH]1)c1nnn[nH]1
qmof-8b33bc9,DIDYUM_FSR,bandgap_1.0_to_1.5eV,1.02381,2.79617,2.099899173,730.3003081,64,2,,True,Cu,I[Cu][Cu]I,1,C(=Nc1ccccc1SCCSc1ccccc1N=Cc1ccccc1)c1ccccc1
qmof-7192ec8,PIRNAH01_FSR,bandgap_1.0_to_1.5eV,1.04866,1.73113,2.245156928,1171.363155,84,18,,True,Cs,O|[Cs],2,O=C1C=CC(=O)C=C1
qmof-d0d6fd2,BOKXIK_FSR,bandgap_1.0_to_1.5eV,1.44523,3.31258,1.687918131,796.3077124,56,2,,True,Cu,Cl[Cu]Cl,1,O=S1(=O)[N]c2c(c3ncccc3c3cccnc23)[N]1
qmof-85bc3c6,PUPXII_FSR,bandgap_1.0_to_1.5eV,2.62484,3.28515,1.72484683,585.5585022,52,1,,True,Mn,[OH2][Mn],1,c1cc(-c2ncc[nH]2)ccn1
qmof-31797e0,DEYWAI01_FSR,bandgap_1.0_to_1.5eV,1.13853,1.771,2.703373968,427.5218956,32,2,,True,Cu,unknown,0,
qmof-d46ee4f,DAZXOU_FSR,bandgap_1.0_to_1.5eV,0.92985,1.69866,2.182482721,675.9635192,64,14,,True,Cu,unknown,0,
qmof-1f8e39f,QAFFAF_FSR,bandgap_1.0_to_1.5eV,0.77751,2.39787,1.750320819,730.9400633,78,5,,True,Mn,[OH2][Mn][OH2],1,
qmof-c4f3917,DEJGUV_FSR,bandgap_1.0_to_1.5eV,0.86582,1.74905,1.969501602,936.8567124,88,2,,True,Cu,[Cu],1,
qmof-0122bb1,BAMSEN_FSR,bandgap_1.0_to_1.5eV,1.63694,1.96376,1.613873919,618.6294202,58,2,,True,Ga,unknown,0,
qmof-45a6307,WEZNUM_FSR,bandgap_1.0_to_1.5eV,2.24403,2.94191,2.432783934,658.5077973,58,15,,True,Zn,[OH2][Zn][OH2]|[Zn],2,c1ccccc1
qmof-a457b47,BAHHUP01_FSR,bandgap_1.0_to_1.5eV,1.75415,2.98635,1.809445487,743.5475384,64,2,,True,Cd,unknown,0,
qmof-c776af3,CAXCAG_FSR,bandgap_1.0_to_1.5eV,1.14013,1.82554,2.014232719,684.7537031,68,15,,True,Cu,[Cu][Cu],1,c1cnccn1
qmof-d42c622,SOQVOK_FSR,bandgap_1.0_to_1.5eV,1.77975,2.23029,1.774924692,467.1221471,49,2,,True,Mn,[OH2][Mn][OH2],1,[CH]1C=C(C2=N[N]N=N2)C=CN1
qmof-a471706,SIWHAI_FSR,bandgap_1.0_to_1.5eV,1.18981,2.12311,1.773164541,471.4704442,52,2,,True,Cu,[OH2][Cu][Cu][OH2],1,C1CCCCC1
qmof-bf12e76,HEWRIK_FSR,bandgap_1.0_to_1.5eV,1.16657,1.73154,2.891781323,322.202394,26,12,,True,Cu,I[Cu][Cu]I,1,c1ccc2nc3ccccc3nc2c1
qmof-8bcdd4b,CERKAO_FSR,bandgap_1.0_to_1.5eV,0.74467,1.73597,1.849009517,498.7099284,53,2,,True,Mn,[OH2][Mn][OH2],1,[CH]1N=C[N]N1c1ccccc1
qmof-3b1e56c,CEPGEJ_FSR,bandgap_1.0_to_1.5eV,1.07967,1.87454,2.203295721,1135.507564,104,43,,True,Cu,unknown,0,
qmof-c30e806,HUTWUQ_FSR,bandgap_1.0_to_1.5eV,1.577,2.79818,1.431108029,1240.158261,112,2,sql,True,Mn,[Mn],1,[CH]([N][N][CH]c1ccncc1)c1ccncc1.c1ccccc1
qmof-9062b93,CAVGIS_FSR,bandgap_1.0_to_1.5eV,3.29068,4.25742,1.308341991,1196.891243,94,2,,True,Ni,unknown,0,
qmof-3600621,CAKTEP_FSR,bandgap_1.0_to_1.5eV,1.13747,2.23746,1.933706433,681.3095015,68,2,,True,Zn,unknown,0,
qmof-64ce5e9,CAQXAT01_FSR,bandgap_1.5_to_2.0eV,1.18955,1.71191,2.871892277,312.8527039,24,12,,True,Cu,I[Cu][Cu]I,1,c1ccnnc1
qmof-b874271,HOFZAD_FSR,bandgap_1.5_to_2.0eV,1.05642,2.35607,1.945878379,1567.278642,148,15,,True,Au,[Na],1,O=c1[nH]cc(-c2c[nH]c(=O)[nH]c2=O)c(=O)[nH]1
qmof-acc8248,TACDOR_FSR,bandgap_1.5_to_2.0eV,1.57701,2.05889,3.205000739,803.0307461,68,14,,True,Tl,unknown,0,
qmof-a3577c1,TEMSUB_FSR,bandgap_1.5_to_2.0eV,0.93183,1.83132,1.872076064,936.0749681,84,14,,True,Cu,unknown,0,
qmof-534fef5,TEJXIQ_FSR,bandgap_1.5_to_2.0eV,0.87948,1.84015,2.046235713,719.1738158,52,2,,True,Rb,[Rb]1[OH2][Rb][OH2]1,1,C=c1c(=O)c(=C)c(=O)c1=O
qmof-2c0cdf7,AGUMUL_FSR,bandgap_1.5_to_2.0eV,0.88642,2.37828,2.721035304,1389.189862,122,2,,True,Mo,[Cu]|[Cu][Cu]|[Mo]|[O],4,[CH]1N=CN(Cc2cccnc2)N1.[CH]1N=CNN1Cc1cccnc1.[CH]1N=C[N]N1Cc1cccnc1
